PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount,MS,MS_Uncertainty,MS_StationCount
1683292,1980-07-09T18:34:42Z,-41.09,0.0,175.18,0.0,23.0,1.0,ML,,,,2.2,0.1,3,2.2,nan,1,,,
1683293,1980-07-10T07:06:28Z,-41.77,0.1,174.56,0.0,35.0,15.0,ML,,,,2.1,0.2,5,,,,,,
1561062,1980-07-10T12:14:01Z,-38.51,0.1,-179.41,0.1,12.0,0.0,ML,,,,4.1,0.2,8,,,,,,
1683294,1980-07-10T14:09:05Z,-41.45,0.0,174.47,0.0,22.0,0.0,ML,,,,1.8,0.1,5,,,,,,
1683295,1980-07-10T15:22:04Z,-40.9,0.0,175.23,0.0,28.0,1.0,ML,,,,1.8,0.4,4,,,,,,
1683296,1980-07-11T01:07:24Z,-41.33,0.0,175.37,0.0,7.0,4.0,ML,,,,1.9,0.2,6,,,,,,
1683297,1980-07-11T08:11:16Z,-41.39,0.0,175.1,0.0,20.0,2.0,ML,,,,2.6,nan,1,2.5,0.1,4,,,
1683298,1980-07-11T11:15:22Z,-41.38,0.0,175.11,0.0,18.0,0.0,ML,,,,1.6,0.1,5,,,,,,
1561063,1980-07-11T18:07:19Z,-37.2,0.1,176.79,0.1,236.0,11.0,ML,,,,4.2,0.2,6,,,,,,
1683299,1980-07-12T02:12:46Z,-41.62,0.0,174.63,0.0,29.0,1.0,ML,,,,2.1,0.2,4,,,,,,
1561064,1980-07-12T06:19:21Z,-40.58,0.0,177.14,0.1,33.0,0.0,ML,,,,4.2,0.4,9,,,,,,
1683300,1980-07-12T18:08:48Z,-41.59,0.0,174.7,0.0,30.0,1.0,ML,,,,1.8,0.3,4,,,,,,
1683301,1980-07-12T19:51:08Z,-41.36,0.0,174.29,0.0,33.0,1.0,ML,,,,2.4,0.1,2,2.3,nan,1,,,
1683302,1980-07-13T00:40:28Z,-41.32,0.0,174.84,0.0,29.0,1.0,ML,,,,1.6,0.2,5,,,,,,
1561066,1980-07-13T03:06:48Z,-40.89,0.1,177.21,0.1,12.0,0.0,ML,,,,3.7,0.3,7,,,,,,
1683303,1980-07-13T04:52:16Z,-41.64,0.0,174.27,0.0,22.0,0.0,ML,,,,2.0,0.2,5,,,,,,
1561067,1980-07-13T07:40:14Z,-44.92,0.0,167.64,0.1,50.0,15.0,ML,,,,3.4,0.3,3,,,,,,
1683304,1980-07-13T13:48:54Z,-41.4,0.0,174.98,0.0,24.0,1.0,ML,,,,1.8,0.1,3,,,,,,
1683305,1980-07-14T08:36:45Z,-40.92,0.0,174.65,0.0,43.0,2.0,Md,,,,,,,3.0,0.1,6,,,
1583757,1980-07-14T15:45:38Z,-43.63,0.0,169.95,0.0,3.0,1.0,ML,,,,2.5,0.2,5,,,,,,
1683306,1980-07-14T16:25:14Z,-41.4,0.0,175.1,0.0,22.0,1.0,ML,,,,3.0,nan,2,,,,,,
1683307,1980-07-14T16:34:30Z,-41.4,0.0,175.09,0.0,20.0,1.0,ML,,,,1.9,0.1,5,,,,,,
1683308,1980-07-14T17:23:33Z,-41.34,0.0,174.87,0.0,32.0,0.0,ML,,,,1.4,0.2,5,,,,,,
1683309,1980-07-14T17:31:21Z,-41.39,0.0,175.09,0.0,19.0,3.0,ML,,,,1.5,0.1,5,,,,,,
1683310,1980-07-14T23:29:33Z,-41.4,0.0,175.1,0.0,21.0,0.0,ML,,,,2.3,0.2,5,,,,,,
1683311,1980-07-14T23:29:48Z,-41.4,0.0,175.1,0.0,20.0,1.0,ML,,,,1.6,0.2,6,,,,,,
1561069,1980-07-15T06:31:04Z,-38.78,0.0,175.67,0.1,147.0,8.0,ML,,,,3.7,0.4,4,,,,,,
1683312,1980-07-15T08:58:39Z,-41.07,0.0,174.7,0.0,51.0,1.0,ML,,,,3.2,0.1,2,3.0,0.2,10,,,
1561070,1980-07-15T09:33:26Z,-40.93,0.0,174.93,0.0,44.0,7.0,ML,,,,4.5,0.1,4,,,,,,
1683314,1980-07-15T09:44:26Z,-40.86,0.0,174.96,0.0,39.0,1.0,ML,,,,1.8,0.3,7,,,,,,
1583758,1980-07-15T09:47:23Z,-43.64,0.0,169.78,0.1,49.0,5.0,ML,,,,2.2,0.1,4,,,,,,
1683315,1980-07-15T10:47:38Z,-41.49,0.0,174.22,0.0,12.0,2.0,ML,,,,1.7,0.2,4,,,,,,
1683316,1980-07-15T11:18:11Z,-40.63,0.0,174.7,0.0,10.0,1.0,ML,,,,1.7,0.1,4,,,,,,
1583759,1980-07-15T12:23:08Z,-44.37,0.0,169.55,0.0,10.0,0.0,ML,,,,2.0,0.1,6,,,,,,
1561071,1980-07-15T16:21:19Z,-38.0,0.0,176.25,0.1,209.0,7.0,ML,,,,4.0,0.4,3,,,,,,
1561072,1980-07-16T04:30:04Z,-38.48,0.0,177.82,0.0,12.0,0.0,ML,,,,3.6,0.1,3,,,,,,
1683317,1980-07-16T09:32:06Z,-41.03,0.0,175.94,0.0,29.0,5.0,ML,,,,2.0,0.1,4,,,,,,
1561073,1980-07-16T09:32:32Z,-41.62,0.0,171.96,0.0,0.0,0.0,ML,,,,3.8,0.2,7,,,,,,
1561074,1980-07-16T10:29:15Z,-37.45,0.0,177.27,0.1,145.0,6.0,ML,,,,3.7,0.3,4,,,,,,
1683318,1980-07-16T13:25:37Z,-41.16,0.0,174.6,0.0,21.0,1.0,ML,,,,1.1,0.1,3,,,,,,
1561075,1980-07-16T19:37:30Z,-38.13,0.1,176.49,0.1,153.0,8.0,ML,,,,4.4,0.3,5,,,,,,
1683319,1980-07-16T23:01:35Z,-40.84,0.0,175.06,0.0,29.0,1.0,ML,,,,2.2,0.1,4,,,,,,
1683320,1980-07-17T04:01:51Z,-41.06,0.0,175.09,0.0,20.0,2.0,ML,,,,1.5,0.1,5,,,,,,
1683321,1980-07-17T09:41:42Z,-40.89,0.0,175.07,0.0,44.0,4.0,ML,,,,2.4,0.1,2,2.2,nan,1,,,
1683322,1980-07-17T09:47:58Z,-41.27,0.0,175.26,0.0,28.0,1.0,ML,,,,2.4,0.1,3,2.3,nan,1,,,
1683323,1980-07-17T10:27:17Z,-41.27,0.0,175.26,0.0,26.0,1.0,ML,,,,1.9,0.1,3,,,,,,
1683324,1980-07-17T18:00:04Z,-40.64,0.0,174.87,0.0,34.0,1.0,ML,,,,2.1,0.1,4,,,,,,
1683325,1980-07-17T21:36:39Z,-41.41,0.0,174.55,0.0,26.0,1.0,Md,,,,,,,2.5,0.1,2,,,
1683326,1980-07-17T22:56:24Z,-41.53,0.0,174.99,0.0,24.0,0.0,ML,,,,2.0,0.2,3,,,,,,
1561077,1980-07-18T04:29:53Z,-44.44,0.0,168.15,0.0,12.0,0.0,ML,,,,3.8,0.3,5,,,,,,
1683327,1980-07-19T03:39:51Z,-40.98,0.0,174.62,0.0,57.0,0.0,ML,,,,1.8,0.1,4,,,,,,
1561078,1980-07-19T04:05:31Z,-38.52,0.0,176.07,0.1,12.0,0.0,ML,,,,2.7,nan,2,,,,,,
1561079,1980-07-19T09:07:01Z,-39.77,0.1,176.99,0.1,33.0,0.0,ML,,,,3.5,0.2,8,,,,,,
1561080,1980-07-19T09:51:02Z,-44.58,0.0,169.72,0.0,4.0,0.0,ML,,,,4.4,0.2,7,,,,,,
1583761,1980-07-19T09:55:00Z,-44.52,0.0,169.81,0.0,1.0,2.0,ML,,,,3.0,0.2,4,,,,,,
1583762,1980-07-19T10:08:15Z,-44.52,0.0,169.81,0.0,2.0,0.0,ML,,,,3.3,0.1,4,,,,,,
1583763,1980-07-19T10:09:03Z,-44.54,0.0,169.78,0.0,6.0,1.0,ML,,,,2.1,0.1,4,,,,,,
1583764,1980-07-19T12:55:35Z,-44.53,0.0,169.81,0.0,6.0,0.0,ML,,,,1.8,0.1,5,,,,,,
1683328,1980-07-19T13:06:38Z,-41.16,0.0,174.76,0.0,33.0,1.0,ML,,,,2.4,nan,2,2.4,0.1,2,,,
1561081,1980-07-19T13:54:09Z,-41.08,0.0,175.13,0.1,79.0,6.0,ML,,,,4.5,0.4,3,,,,,,
1683330,1980-07-19T14:34:08Z,-40.85,0.0,174.95,0.0,40.0,1.0,ML,,,,1.7,0.2,6,,,,,,
1683331,1980-07-19T15:27:29Z,-40.85,0.0,174.96,0.0,44.0,1.0,ML,,,,1.7,0.3,6,,,,,,
1683332,1980-07-19T15:35:03Z,-40.86,0.0,174.94,0.0,42.0,1.0,ML,,,,1.6,0.2,5,,,,,,
1561082,1980-07-19T15:35:13Z,-38.87,0.0,175.22,0.1,221.0,7.0,ML,,,,4.0,0.2,5,,,,,,
1683333,1980-07-19T15:39:36Z,-40.86,0.0,174.95,0.0,41.0,4.0,ML,,,,1.9,0.2,5,,,,,,
1583765,1980-07-19T15:58:06Z,-44.54,0.0,169.81,0.0,6.0,1.0,ML,,,,2.4,0.1,5,,,,,,
1683334,1980-07-19T20:23:37Z,-40.99,0.0,175.69,0.1,31.0,7.0,ML,,,,1.7,0.2,3,,,,,,
1583766,1980-07-19T21:16:03Z,-44.52,0.0,169.8,0.0,3.0,4.0,ML,,,,1.7,0.0,3,,,,,,
1583767,1980-07-20T05:09:35Z,-44.53,0.0,169.81,0.0,6.0,0.0,ML,,,,1.8,0.2,4,,,,,,
1583768,1980-07-20T07:34:27Z,-44.0,0.0,170.48,0.0,4.0,1.0,ML,,,,2.3,0.1,4,,,,,,
1583769,1980-07-20T07:41:18Z,-44.38,0.0,169.64,0.0,44.0,1.0,ML,,,,3.1,0.1,4,,,,,,
1683335,1980-07-20T12:38:26Z,-40.84,0.0,175.02,0.0,34.0,6.0,ML,,,,1.8,0.1,3,,,,,,
1683336,1980-07-20T17:01:59Z,-41.67,0.0,174.51,0.0,30.0,1.0,ML,,,,2.5,0.1,3,,,,,,
1683337,1980-07-20T17:45:13Z,-41.21,0.0,175.23,0.0,21.0,1.0,ML,,,,1.6,0.2,6,,,,,,
