PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2017p003376,2017-01-02T05:59:10Z,-41.62,3.0,174.43,2.2,10.0,4.0,M,,,,,,,4.2,0.1,17,3.9,nan,17,,,,3.9,0.1,17
2017p003381,2017-01-02T06:01:46Z,-41.6,3.5,174.4,2.9,14.0,6.0,M,,,,,,,3.2,0.1,13,3.0,nan,13,,,,3.0,0.1,13
2017p003385,2017-01-02T06:03:53Z,-41.61,3.6,174.4,3.0,15.0,6.0,M,,,,,,,3.3,0.1,13,3.0,nan,12,,,,3.0,0.1,12
2017p003515,2017-01-02T07:13:12Z,-41.63,3.6,174.32,3.0,10.0,7.0,M,,,,,,,2.9,0.1,7,2.7,nan,7,,,,2.7,0.2,7
2017p003618,2017-01-02T08:07:55Z,-41.6,3.9,174.39,3.5,14.0,9.0,M,,,,,,,3.2,0.1,7,2.8,nan,7,,,,2.8,0.1,7
2017p003636,2017-01-02T08:17:35Z,-38.61,1.2,176.22,1.3,6.0,2.0,M,,,,,,,2.2,0.2,17,1.9,nan,13,,,,1.9,0.2,13
2017p003670,2017-01-02T08:35:23Z,-38.64,1.6,176.19,1.9,5.0,2.0,M,,,,,,,2.2,0.2,12,1.8,nan,11,,,,1.8,0.3,11
2017p003717,2017-01-02T09:00:46Z,-38.62,2.7,176.22,2.8,4.0,3.0,M,,,,,,,3.5,0.2,13,3.1,nan,13,,,,3.1,0.2,13
2017p003730,2017-01-02T09:07:36Z,-42.42,3.4,173.54,7.1,5.0,0.0,M,,,,,,,2.8,0.3,7,2.9,nan,1,,,,2.9,nan,1
2017p003740,2017-01-02T09:12:54Z,-38.62,1.9,176.21,2.2,4.0,3.0,M,,,,,,,4.3,0.2,21,4.0,nan,21,,,,4.0,0.2,21
2017p003787,2017-01-02T09:37:44Z,-38.61,1.6,176.2,1.6,0.0,2.0,M,,,,,,,3.1,0.2,69,2.9,nan,61,,,,2.9,0.2,61
2017p003805,2017-01-02T09:47:19Z,-42.34,2.9,173.56,4.0,6.0,5.0,M,,,,,,,4.8,0.2,13,4.6,nan,13,,,,4.6,0.2,13
2017p003815,2017-01-02T09:52:48Z,-42.32,3.2,173.5,5.4,3.0,4.0,M,,,,,,,2.5,0.3,6,2.4,nan,4,,,,2.4,0.3,4
2017p003820,2017-01-02T09:55:41Z,-38.61,1.0,176.22,1.3,7.0,2.0,M,,,,,,,2.6,0.2,37,2.3,nan,29,,,,2.3,0.2,29
2017p003824,2017-01-02T09:57:46Z,-42.49,3.3,173.38,3.9,5.0,0.0,M,,,,,,,3.2,0.2,7,2.9,nan,7,,,,2.9,0.2,7
2017p003834,2017-01-02T10:02:44Z,-42.34,4.9,173.76,9.5,6.0,12.0,M,,,,,,,2.4,0.3,6,2.2,nan,3,,,,2.2,0.5,3
2017p004095,2017-01-02T12:21:56Z,-38.68,3.7,177.31,3.9,51.0,8.0,M,,,,,,,4.4,0.3,11,4.0,nan,11,,,,4.0,0.3,11
2017p004337,2017-01-02T14:31:07Z,-42.36,4.6,173.96,5.7,9.0,6.0,M,,,,,,,2.4,0.3,7,2.7,nan,2,,,,2.7,0.7,2
2017p004358,2017-01-02T14:41:59Z,-41.56,3.1,174.43,1.9,7.0,3.0,M,,,,,,,4.0,0.2,18,3.7,nan,18,,,,3.7,0.2,18
2017p004411,2017-01-02T15:10:39Z,-42.41,4.0,173.36,5.7,8.0,7.0,M,,,,,,,3.1,0.2,8,2.9,nan,7,,,,2.9,0.1,7
2017p004678,2017-01-02T17:32:53Z,-41.68,2.5,174.13,2.4,9.0,4.0,M,,,,,,,3.3,0.2,13,3.0,nan,13,,,,3.0,0.2,13
2017p005243,2017-01-02T22:33:47Z,-36.05,12.1,175.31,6.7,10.0,11.0,M,,,,,,,2.6,0.4,7,2.5,nan,7,,,,2.5,0.3,7
2017p005557,2017-01-03T01:21:08Z,-41.83,3.2,174.04,2.7,8.0,4.0,M,,,,,,,3.6,0.2,13,3.3,nan,13,,,,3.3,0.2,13
2017p005684,2017-01-03T02:28:42Z,-42.58,2.1,171.93,2.4,4.0,3.0,M,,,,,,,3.5,0.2,18,3.3,nan,18,,,,3.3,0.2,18
2017p006017,2017-01-03T05:26:08Z,-38.56,0.8,176.2,1.1,5.0,1.0,M,,,,,,,2.1,0.3,9,1.8,nan,9,,,,1.8,0.3,9
2017p006136,2017-01-03T06:29:21Z,-41.78,3.1,174.19,2.1,6.0,4.0,M,,,,,,,4.2,0.2,13,3.9,nan,13,,,,3.9,0.2,13
2017p006416,2017-01-03T08:58:52Z,-41.73,3.6,174.32,3.5,6.0,5.0,M,,,,,,,3.4,0.1,14,3.1,nan,14,,,,3.1,0.1,14
2017p006477,2017-01-03T09:31:10Z,-36.64,7.7,178.16,8.0,133.0,10.0,M,,,,,,,3.4,0.3,9,3.3,nan,16,,,,3.3,0.1,16
2017p006595,2017-01-03T10:34:12Z,-41.74,2.9,174.18,2.4,10.0,4.0,M,,,,,,,3.5,0.2,9,3.2,nan,9,,,,3.2,0.3,9
2017p007088,2017-01-03T14:56:37Z,-41.75,3.7,174.2,3.1,10.0,6.0,M,,,,,,,3.1,0.2,7,2.7,nan,7,,,,2.7,0.2,7
2017p007153,2017-01-03T15:31:29Z,-42.68,2.5,172.73,2.7,8.0,4.0,M,,,,,,,3.6,0.2,18,3.4,nan,18,,,,3.4,0.1,18
2017p007289,2017-01-03T16:44:06Z,-42.02,2.5,173.62,2.9,7.0,4.0,M,,,,,,,3.9,0.2,12,3.7,nan,12,,,,3.7,0.2,12
2017p007372,2017-01-03T17:28:06Z,-37.32,15.2,-179.96,17.9,24.0,36.0,M,,,,,,,3.7,0.2,15,3.5,nan,13,,,,3.5,0.1,13
2017p007903,2017-01-03T22:11:07Z,-41.62,2.5,174.19,2.0,20.0,3.0,M,,,,,,,4.1,0.2,22,3.8,nan,21,,,,3.8,0.1,21
2017p007993,2017-01-03T22:59:02Z,-42.43,2.5,173.6,3.0,11.0,3.0,M,,,,,,,3.2,0.1,24,3.0,nan,18,,,,3.0,0.2,18
2017p008030,2017-01-03T23:18:36Z,-39.15,1.5,175.39,3.2,8.0,3.0,M,,,,,,,1.4,0.1,9,1.2,nan,8,,,,1.2,0.2,8
2017p008075,2017-01-03T23:42:36Z,-42.38,3.1,173.34,3.1,5.0,3.0,M,,,,,,,2.7,0.2,11,3.2,nan,8,,,,3.2,0.6,8
2017p008078,2017-01-03T23:44:14Z,-41.81,3.4,174.24,2.2,8.0,4.0,M,,,,,,,3.7,0.2,18,3.5,nan,18,,,,3.5,0.2,18
2017p008131,2017-01-04T00:12:24Z,-38.44,1.2,176.18,1.4,7.0,2.0,M,,,,,,,2.2,0.2,8,1.9,nan,8,,,,1.9,0.2,8
2017p008677,2017-01-04T05:03:15Z,-39.47,3.0,175.68,2.2,18.0,3.0,M,,,,,,,2.3,0.2,19,2.0,nan,13,,,,2.0,0.2,13
2017p008730,2017-01-04T05:31:40Z,-42.36,2.4,173.95,2.6,11.0,4.0,M,,,,,,,3.4,0.2,23,3.3,nan,21,,,,3.3,0.2,21
2017p008783,2017-01-04T06:00:07Z,-39.89,3.0,174.68,3.8,93.0,6.0,M,,,,,,,4.5,0.2,32,4.1,nan,38,,,,4.1,0.2,38
2017p008921,2017-01-04T07:13:07Z,-44.1,3.4,168.73,3.7,5.0,0.0,M,,,,,,,3.2,0.1,12,3.1,nan,10,,,,3.1,0.2,10
2017p008967,2017-01-04T07:37:50Z,-42.11,2.3,173.72,3.4,6.0,4.0,M,,,,,,,3.0,0.2,14,3.1,nan,11,,,,3.1,0.4,11
2017p008970,2017-01-04T07:39:23Z,-40.6,2.7,176.14,2.7,18.0,5.0,M,,,,,,,4.5,0.2,10,4.1,nan,10,,,,4.1,0.2,10
2017p009093,2017-01-04T08:44:41Z,-36.08,10.3,178.34,9.8,144.0,17.0,M,,,,,,,3.8,0.4,20,3.6,nan,20,,,,3.6,0.3,20
2017p009205,2017-01-04T09:44:56Z,-42.08,2.5,173.85,3.1,7.0,4.0,M,,,,,,,3.9,0.2,18,3.7,nan,18,,,,3.7,0.2,18
2017p009515,2017-01-04T12:29:51Z,-39.17,2.6,175.42,2.7,7.0,4.0,M,,,,,,,1.3,0.2,11,1.0,nan,6,,,,1.0,0.2,6
2017p009525,2017-01-04T12:34:19Z,-33.28,42.7,-178.49,35.8,226.0,96.0,M,4.5,0.1,2,,,,,,,4.5,nan,3,3.7,0.4,2,4.5,0.3,3
2017p009614,2017-01-04T13:22:29Z,-39.93,2.5,176.67,3.6,33.0,4.0,M,,,,,,,3.3,0.2,15,3.0,nan,14,,,,3.0,0.2,14
2017p010026,2017-01-04T17:01:56Z,-41.89,3.2,174.16,3.1,8.0,4.0,M,,,,,,,4.2,0.2,12,3.9,nan,12,,,,3.9,0.2,12
2017p010334,2017-01-04T19:46:26Z,-42.71,2.6,172.78,2.7,11.0,4.0,M,,,,,,,3.5,0.2,19,3.3,nan,19,,,,3.3,0.1,19
2017p010614,2017-01-04T22:15:38Z,-41.63,2.4,174.25,2.3,9.0,3.0,M,,,,,,,3.7,0.2,18,3.4,nan,18,,,,3.4,0.2,18
2017p010683,2017-01-04T22:52:23Z,-39.44,3.3,175.74,2.0,16.0,3.0,M,,,,,,,1.8,0.2,16,1.7,nan,12,,,,1.7,0.3,12
2017p011126,2017-01-05T02:48:14Z,-42.55,3.1,173.18,5.0,16.0,5.0,M,,,,,,,3.1,0.1,18,3.0,nan,16,,,,3.0,0.2,16
2017p011594,2017-01-05T06:57:32Z,-42.51,2.3,173.06,3.3,10.0,4.0,M,,,,,,,3.6,0.2,17,3.4,nan,17,,,,3.4,0.1,17
2017p011978,2017-01-05T10:22:02Z,-41.55,3.0,174.41,2.2,13.0,4.0,M,,,,,,,3.5,0.1,18,3.2,nan,18,,,,3.2,0.1,18
2017p012002,2017-01-05T10:34:56Z,-42.28,3.7,173.56,5.6,10.0,7.0,M,,,,,,,4.6,0.3,8,4.4,nan,8,,,,4.4,0.2,8
2017p012075,2017-01-05T11:13:45Z,-42.68,2.4,172.73,3.1,10.0,4.0,M,,,,,,,2.5,0.2,14,2.4,nan,8,,,,2.4,0.2,8
2017p012082,2017-01-05T11:17:34Z,-41.81,3.1,174.04,2.1,14.0,3.0,M,,,,,,,5.7,0.1,22,5.4,nan,22,,,,5.4,0.2,22
2017p012099,2017-01-05T11:26:22Z,-41.79,2.9,174.03,2.4,14.0,3.0,M,,,,,,,3.3,0.2,15,3.0,nan,14,,,,3.0,0.1,14
2017p012144,2017-01-05T11:50:24Z,-36.97,18.5,176.87,14.5,237.0,16.0,M,,,,,,,,,,2.6,nan,7,,,,2.6,0.2,7
2017p012145,2017-01-05T11:51:09Z,-41.79,2.9,173.99,2.6,14.0,4.0,M,,,,,,,3.6,0.2,12,3.4,nan,12,,,,3.4,0.2,12
2017p012243,2017-01-05T12:43:06Z,-37.81,3.3,177.52,2.6,27.0,4.0,M,,,,,,,3.4,0.3,31,3.0,nan,31,,,,3.0,0.2,31
2017p012795,2017-01-05T17:37:33Z,-42.5,2.9,173.44,3.4,5.0,4.0,M,,,,,,,3.6,0.2,12,3.3,nan,12,,,,3.3,0.1,12
2017p012925,2017-01-05T18:46:29Z,-42.33,2.4,173.83,3.0,11.0,4.0,M,,,,,,,3.5,0.2,24,3.2,nan,24,,,,3.2,0.2,24
2017p013100,2017-01-05T20:19:44Z,-42.6,3.3,173.51,4.6,25.0,7.0,M,,,,,,,3.2,0.2,20,3.1,nan,19,,,,3.1,0.2,19
2017p013107,2017-01-05T20:23:27Z,-39.2,4.7,174.98,3.7,10.0,5.0,M,,,,,,,1.9,0.3,13,1.5,nan,6,,,,1.5,0.1,6
2017p013606,2017-01-06T00:49:43Z,-39.51,6.6,175.46,6.4,62.0,9.0,M,,,,,,,2.2,0.5,15,1.9,nan,11,,,,1.9,0.6,11
2017p014103,2017-01-06T05:14:25Z,-42.5,2.6,173.84,3.3,26.0,8.0,M,,,,,,,3.8,0.3,24,3.6,nan,24,,,,3.6,0.2,24
2017p014188,2017-01-06T05:59:43Z,-40.89,4.9,173.11,5.9,139.0,7.0,M,,,,,,,,,,3.5,nan,17,,,,3.5,0.2,17
2017p014362,2017-01-06T07:32:19Z,-41.81,2.6,174.02,2.0,15.0,3.0,M,,,,,,,3.9,0.1,22,3.6,nan,22,,,,3.6,0.2,22
2017p014455,2017-01-06T08:22:06Z,-40.78,2.9,176.38,4.0,12.0,5.0,M,,,,,,,3.4,0.3,19,3.0,nan,18,,,,3.0,0.2,18
2017p014499,2017-01-06T08:45:17Z,-41.65,3.0,174.29,2.1,9.0,4.0,M,,,,,,,5.1,0.1,16,4.8,nan,16,,,,4.8,0.1,16
2017p014804,2017-01-06T11:27:59Z,-39.17,1.7,175.4,2.3,7.0,4.0,M,,,,,,,1.2,0.2,8,0.8,nan,7,,,,0.8,0.2,7
2017p015068,2017-01-06T13:48:17Z,-42.11,2.7,173.89,3.1,10.0,4.0,M,,,,,,,3.1,0.2,19,2.8,nan,18,,,,2.8,0.2,18
2017p015253,2017-01-06T15:27:03Z,-38.65,1.5,176.08,1.3,7.0,1.0,M,,,,,,,2.0,0.3,13,1.7,nan,12,,,,1.7,0.3,12
2017p015334,2017-01-06T16:10:20Z,-41.46,3.1,174.5,1.8,11.0,4.0,M,,,,,,,3.1,0.2,18,2.9,nan,19,,,,2.9,0.1,19
2017p015402,2017-01-06T16:46:12Z,-37.75,4.0,177.53,2.6,28.0,6.0,M,,,,,,,5.1,0.3,14,4.8,nan,14,,,,4.8,0.2,14
2017p015547,2017-01-06T18:03:32Z,-37.76,3.8,177.53,2.5,27.0,4.0,M,,,,,,,3.2,0.3,31,3.0,nan,30,,,,3.0,0.2,30
2017p015608,2017-01-06T18:36:23Z,-38.95,3.1,174.69,3.4,24.0,5.0,M,,,,,,,2.8,0.2,22,2.5,nan,18,,,,2.5,0.2,18
2017p015650,2017-01-06T18:58:24Z,-39.08,3.0,173.97,5.5,11.0,5.0,M,,,,,,,2.3,0.4,11,1.8,nan,6,,,,1.8,0.3,6
2017p015969,2017-01-06T21:48:50Z,-38.61,0.9,176.22,1.2,6.0,1.0,M,,,,,,,2.3,0.2,20,2.1,nan,17,,,,2.1,0.2,17
2017p015971,2017-01-06T21:49:51Z,-39.08,2.7,173.97,4.5,10.0,3.0,M,,,,,,,2.7,0.3,21,2.3,nan,15,,,,2.3,0.2,15
2017p015975,2017-01-06T21:51:45Z,-38.62,1.1,176.22,1.3,7.0,2.0,M,,,,,,,2.2,0.2,21,1.9,nan,18,,,,1.9,0.2,18
2017p016108,2017-01-06T23:02:23Z,-37.79,5.2,177.57,11.5,39.0,8.0,M,,,,,,,2.1,0.3,8,1.5,nan,4,,,,1.5,0.4,4
2017p016319,2017-01-07T00:55:12Z,-39.43,3.8,175.76,2.1,14.0,3.0,M,,,,,,,1.3,0.2,13,1.2,nan,7,,,,1.2,0.2,7
2017p016396,2017-01-07T01:36:08Z,-42.65,3.3,173.28,4.4,19.0,6.0,M,,,,,,,4.8,0.2,15,4.5,nan,15,,,,4.5,0.1,15
2017p016433,2017-01-07T01:55:43Z,-38.41,1.0,176.24,1.1,7.0,2.0,M,,,,,,,1.6,0.2,10,1.3,nan,8,,,,1.3,0.1,8
2017p016457,2017-01-07T02:08:35Z,-42.56,3.4,173.33,5.1,12.0,6.0,M,,,,,,,2.5,0.1,9,2.3,nan,1,,,,2.3,nan,1
2017p016694,2017-01-07T04:14:38Z,-39.33,3.9,174.71,6.3,27.0,8.0,M,,,,,,,2.1,0.2,14,1.8,nan,6,,,,1.8,0.2,6
2017p016838,2017-01-07T05:31:29Z,-37.04,10.6,178.97,12.6,3.0,9.0,M,,,,,,,4.3,0.2,15,3.9,nan,15,,,,3.9,0.2,15
2017p017004,2017-01-07T06:59:53Z,-42.48,2.3,173.88,3.4,3.0,4.0,M,,,,,,,3.1,0.2,20,2.9,nan,20,,,,2.9,0.2,20
2017p017031,2017-01-07T07:14:08Z,-42.6,2.8,173.35,3.6,14.0,4.0,M,,,,,,,3.6,0.2,22,3.4,nan,22,,,,3.4,0.2,22
2017p017103,2017-01-07T07:52:45Z,-41.92,12.5,177.57,19.9,86.0,66.0,M,,,,,,,3.3,0.3,10,3.0,nan,12,,,,3.0,0.3,12
2017p017161,2017-01-07T08:23:23Z,-42.44,2.2,173.96,2.9,3.0,3.0,M,,,,,,,4.6,0.2,18,4.4,nan,18,,,,4.4,0.2,18
2017p017175,2017-01-07T08:30:52Z,-37.76,4.2,177.54,3.0,30.0,6.0,M,,,,,,,3.2,0.3,21,2.9,nan,21,,,,2.9,0.2,21
2017p017208,2017-01-07T08:48:48Z,-42.58,3.1,173.31,4.7,10.0,5.0,M,,,,,,,2.4,0.2,11,2.5,nan,1,,,,2.5,nan,1
2017p017217,2017-01-07T08:53:17Z,-42.43,2.9,173.85,4.3,3.0,4.0,M,,,,,,,4.0,0.2,13,3.7,nan,13,,,,3.7,0.2,13
2017p017285,2017-01-07T09:30:49Z,-38.92,3.5,175.76,3.8,5.0,4.0,M,,,,,,,1.2,0.1,9,0.9,nan,7,,,,0.9,0.2,7
2017p017730,2017-01-07T13:27:04Z,-42.69,4.1,172.9,6.9,17.0,8.0,M,,,,,,,2.6,0.2,8,2.4,nan,3,,,,2.4,0.3,3
2017p017770,2017-01-07T13:48:08Z,-39.01,1.4,175.73,2.4,5.0,3.0,M,,,,,,,1.3,0.2,8,1.0,nan,7,,,,1.0,0.2,7
2017p017820,2017-01-07T14:14:30Z,-42.72,2.7,172.9,3.0,13.0,4.0,M,,,,,,,3.2,0.2,18,3.1,nan,18,,,,3.1,0.2,18
2017p017951,2017-01-07T15:24:22Z,-41.9,3.2,173.99,2.9,10.0,4.0,M,,,,,,,2.8,0.2,16,2.6,nan,16,,,,2.6,0.2,16
2017p017954,2017-01-07T15:26:25Z,-39.15,1.2,175.36,1.6,11.0,2.0,M,,,,,,,3.1,0.2,72,2.9,nan,66,,,,2.9,0.2,66
2017p018044,2017-01-07T16:14:09Z,-37.04,11.0,179.19,10.2,64.0,23.0,M,,,,,,,3.8,0.3,17,3.6,nan,15,,,,3.6,0.2,15
2017p018165,2017-01-07T17:18:48Z,-42.41,3.1,173.53,4.5,17.0,5.0,M,,,,,,,3.8,0.1,15,3.6,nan,15,,,,3.6,0.1,15
2017p018282,2017-01-07T18:20:48Z,-39.15,1.4,175.37,2.0,12.0,3.0,M,,,,,,,2.0,0.3,24,1.7,nan,18,,,,1.7,0.2,18
2017p018285,2017-01-07T18:22:30Z,-37.8,4.6,177.56,5.0,40.0,7.0,M,,,,,,,2.7,0.2,24,2.3,nan,15,,,,2.3,0.2,15
2017p018289,2017-01-07T18:24:40Z,-39.16,1.8,175.38,2.2,8.0,3.0,M,,,,,,,1.3,0.1,11,1.0,nan,6,,,,1.0,0.1,6
2017p018294,2017-01-07T18:27:29Z,-37.69,5.6,177.45,4.8,60.0,8.0,M,,,,,,,3.5,0.2,60,3.2,nan,52,,,,3.2,0.2,52
2017p018535,2017-01-07T20:35:45Z,-41.77,3.0,174.13,2.6,8.0,3.0,M,,,,,,,3.2,0.2,15,2.9,nan,15,,,,2.9,0.2,15
2017p018682,2017-01-07T21:53:54Z,-39.14,5.2,175.09,3.4,18.0,8.0,M,,,,,,,1.9,0.1,12,1.5,nan,7,,,,1.5,0.2,7
2017p018837,2017-01-07T23:16:44Z,-42.37,2.7,173.69,3.6,16.0,4.0,M,,,,,,,3.2,0.2,22,3.0,nan,22,,,,3.0,0.2,22
2017p018844,2017-01-07T23:20:14Z,-39.49,3.0,175.68,2.1,18.0,3.0,M,,,,,,,1.8,0.2,19,1.6,nan,18,,,,1.6,0.2,18
2017p018862,2017-01-07T23:30:09Z,-42.67,3.5,172.97,4.0,9.0,6.0,M,,,,,,,2.3,0.2,9,3.0,nan,1,,,,3.0,nan,1
2017p018949,2017-01-08T00:16:05Z,-42.03,7.2,173.7,4.5,5.0,0.0,M,,,,,,,3.0,0.1,6,2.2,nan,5,,,,2.2,0.3,5
2017p018948,2017-01-08T00:16:07Z,-42.49,3.0,173.3,3.4,5.0,0.0,M,,,,,,,3.3,0.2,6,3.0,nan,10,,,,3.0,0.2,10
2017p019020,2017-01-08T00:54:08Z,-42.22,2.4,173.53,4.0,5.0,0.0,M,,,,,,,2.4,0.1,7,2.3,nan,5,,,,2.3,0.1,5
2017p019073,2017-01-08T01:22:41Z,-41.81,3.4,174.15,7.0,8.0,7.0,M,,,,,,,2.3,0.1,6,1.7,nan,4,,,,1.7,0.3,4
2017p019074,2017-01-08T01:22:52Z,-42.98,4.5,173.32,5.2,5.0,0.0,M,,,,,,,2.5,0.2,5,2.4,nan,5,,,,2.4,0.2,5
2017p019110,2017-01-08T01:41:55Z,-39.84,3.3,176.68,3.5,32.0,7.0,M,,,,,,,3.1,0.2,13,2.9,nan,13,,,,2.9,0.1,13
2017p019126,2017-01-08T01:50:33Z,-41.89,3.1,173.94,4.3,10.0,6.0,M,,,,,,,2.4,0.3,6,2.2,nan,6,,,,2.2,0.3,6
2017p019209,2017-01-08T02:34:49Z,-41.7,3.1,174.13,3.7,9.0,6.0,M,,,,,,,2.8,0.2,9,2.5,nan,12,,,,2.5,0.2,12
2017p019222,2017-01-08T02:41:54Z,-42.22,2.5,173.67,4.7,5.0,0.0,M,,,,,,,2.4,0.2,7,2.1,nan,6,,,,2.1,0.3,6
2017p019248,2017-01-08T02:55:25Z,-42.5,3.9,173.31,3.9,5.0,0.0,M,,,,,,,3.3,0.1,7,3.0,nan,18,,,,3.0,0.1,18
