PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLh,MLh_Uncertainty,MLh_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mBc,mBc_Uncertainty,mBc_StationCount,mb,mb_Uncertainty,mb_StationCount,Mw(mBc),Mw(mBc)_Uncertainty,Mw(mBc)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2012p001600,2012-01-01T14:13:35Z,-36.82,1.5,174.98,1.1,7.0,2.0,M,,,,1.2,0.3,7,1.4,0.2,6,1.4,nan,7,,,,1.6,0.0,3,,,,,,,,,,,,,1.4,0.3,7
2012p001605,2012-01-01T14:15:27Z,-43.48,2.8,172.8,3.3,15.0,6.0,M,,,,2.8,0.5,4,2.0,0.6,4,1.9,nan,4,,,,2.5,0.2,3,,,,,,,,,,,,,1.9,0.5,4
2012p001608,2012-01-01T14:16:46Z,-43.45,7.3,172.81,1.2,12.0,6.0,M,,,,2.9,0.4,3,2.4,nan,1,2.1,nan,3,,,,2.3,0.2,3,,,,,,,,,,,,,2.1,0.4,3
2012p001636,2012-01-01T14:31:41Z,-43.43,1.3,172.73,3.2,11.0,3.0,ML,,,,2.8,0.6,3,3.0,0.5,18,2.5,nan,3,,,,3.3,0.0,2,,,,,,,,,,,,,2.5,0.7,3
2012p001640,2012-01-01T14:34:07Z,-39.58,3.2,174.59,2.9,119.0,4.0,M,,,,,,,,,,2.4,nan,14,,,,,,,,,,,,,,,,,,,2.4,0.2,14
2012p001674,2012-01-01T14:52:21Z,-39.24,2.5,176.15,1.6,57.0,4.0,M,,,,2.4,0.3,28,2.9,0.3,28,2.6,nan,28,,,,3.3,0.2,28,,,,,,,,,,,,,2.6,0.3,28
2012p001693,2012-01-01T15:02:08Z,-43.49,1.9,172.8,2.8,5.0,0.0,M,,,,2.7,0.5,4,2.0,0.5,4,2.0,nan,4,,,,2.6,0.0,2,,,,,,,,,,,,,2.0,0.5,4
2012p001705,2012-01-01T15:08:25Z,-43.44,2.7,172.82,3.4,5.0,0.0,M,,,,2.8,0.3,4,2.0,0.5,4,2.1,nan,4,,,,2.4,0.3,3,,,,,,,,,,,,,2.1,0.4,4
2012p001710,2012-01-01T15:11:36Z,-43.46,2.6,172.84,2.8,5.0,0.0,M,,,,3.2,0.0,2,2.4,0.2,2,2.4,nan,2,,,,2.6,0.3,2,,,,,,,,,,,,,2.4,0.1,2
2012p001731,2012-01-01T15:22:35Z,-38.91,7.8,175.63,8.1,98.0,7.0,M,,,,,,,,,,1.7,nan,8,,,,,,,,,,,,,,,,,,,1.7,0.5,8
2012p001761,2012-01-01T15:38:51Z,-39.77,3.6,176.73,6.4,32.0,8.0,M,,,,2.1,0.7,5,1.8,0.5,5,1.6,nan,5,,,,2.2,0.3,5,,,,,,,,,,,,,1.6,0.5,5
