PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1563625,1983-01-18T16:07:09Z,-41.98,0.1,173.98,0.1,33.0,0.0,ML,,,,3.9,0.2,4,,,
1563626,1983-01-18T21:26:31Z,-37.14,0.1,176.67,0.1,235.0,16.0,ML,,,,4.0,0.3,4,,,
1686720,1983-01-19T20:28:10Z,-40.81,0.0,174.87,0.0,5.0,0.0,ML,,,,2.1,nan,1,2.9,0.1,3
1563628,1983-01-20T03:17:49Z,-37.37,0.1,176.72,0.1,152.0,7.0,ML,,,,4.0,0.2,7,,,
1563629,1983-01-20T07:33:42Z,-44.46,0.0,167.84,0.1,33.0,0.0,ML,,,,3.3,0.6,2,,,
1563630,1983-01-20T13:00:24Z,-40.54,0.0,173.74,0.0,135.0,7.0,ML,,,,3.8,0.3,4,,,
1563631,1983-01-20T14:13:08Z,-38.79,0.0,175.89,0.0,115.0,5.0,ML,,,,4.3,0.2,7,,,
1563632,1983-01-20T18:48:41Z,-37.93,0.0,176.33,0.1,210.0,8.0,ML,,,,4.7,0.2,5,,,
1563633,1983-01-21T00:54:43Z,-37.19,0.1,179.62,0.1,33.0,0.0,ML,,,,3.9,0.2,6,,,
1584484,1983-01-21T06:59:15Z,-44.42,0.0,170.03,0.0,7.0,1.0,ML,,,,2.6,0.1,3,,,
1563634,1983-01-21T08:39:01Z,-37.35,0.0,177.99,0.0,72.0,6.0,ML,,,,4.5,0.3,8,,,
1686721,1983-01-21T15:06:55Z,-41.78,0.0,174.2,0.0,20.0,2.0,ML,,,,2.3,0.2,5,,,
1563635,1983-01-21T18:16:16Z,-40.19,0.0,176.66,0.1,12.0,0.0,ML,,,,3.2,0.5,3,,,
1686722,1983-01-22T15:36:05Z,-40.85,0.0,174.97,0.0,37.0,1.0,ML,,,,2.4,0.2,5,,,
1563636,1983-01-23T00:00:41Z,-38.44,0.1,176.25,0.1,150.0,11.0,ML,,,,3.7,0.5,5,,,
1563637,1983-01-23T00:07:32Z,-41.71,0.1,171.89,0.1,12.0,0.0,ML,,,,3.8,0.3,5,,,
1563638,1983-01-23T00:27:55Z,-39.74,0.0,174.3,0.0,143.0,5.0,ML,,,,4.0,0.2,4,,,
1686723,1983-01-23T01:05:43Z,-40.94,0.0,174.65,0.0,42.0,5.0,ML,,,,2.8,nan,1,2.8,0.1,6
1563639,1983-01-23T07:46:54Z,-41.39,0.0,174.23,0.0,60.0,5.0,ML,,,,3.8,0.2,5,,,
1584485,1983-01-23T07:47:06Z,-43.61,0.0,170.5,0.0,5.0,2.0,ML,,,,2.4,nan,1,,,
1686725,1983-01-23T13:42:55Z,-40.53,0.0,174.56,0.0,18.0,8.0,ML,,,,2.8,nan,1,2.7,0.3,3
1584486,1983-01-23T17:59:10Z,-43.52,0.0,170.55,0.0,10.0,0.0,ML,,,,2.6,0.1,4,,,
1686726,1983-01-24T02:32:53Z,-41.43,0.0,174.42,0.0,22.0,2.0,ML,,,,2.3,0.1,6,,,
1584487,1983-01-24T06:56:22Z,-44.01,0.0,169.52,0.0,2.0,2.0,ML,,,,2.3,0.2,5,,,
1563640,1983-01-25T01:01:09Z,-38.1,0.0,176.84,0.0,5.0,0.0,ML,,,,3.3,0.3,4,,,
1686727,1983-01-25T20:43:26Z,-40.92,0.0,174.66,0.0,66.0,1.0,Md,,,,,,,3.2,0.2,6
1563641,1983-01-26T08:59:49Z,-39.09,0.0,175.38,0.0,108.0,5.0,ML,,,,4.6,0.2,7,,,
1563643,1983-01-26T18:56:22Z,-41.44,0.0,174.56,0.0,20.0,3.0,ML,,,,3.8,0.5,4,,,
1584488,1983-01-26T22:25:59Z,-44.35,0.0,170.29,0.0,9.0,0.0,ML,,,,2.0,0.1,5,,,
1563644,1983-01-27T03:49:24Z,-41.71,0.0,172.4,0.0,33.0,0.0,ML,,,,3.5,0.2,4,,,
1563645,1983-01-27T11:33:08Z,-42.27,0.0,172.83,0.0,33.0,0.0,ML,,,,4.1,0.2,7,,,
1584489,1983-01-27T22:18:34Z,-44.2,0.0,169.87,0.0,46.0,1.0,ML,,,,2.7,nan,1,,,
1686729,1983-01-28T08:10:07Z,-41.35,0.0,174.59,0.0,32.0,0.0,ML,,,,3.0,0.1,2,2.7,0.1,4
1686730,1983-01-28T12:23:38Z,-41.86,0.0,174.34,0.0,29.0,2.0,ML,,,,2.5,0.1,5,,,
1686731,1983-01-28T18:07:27Z,-40.52,0.0,174.54,0.0,20.0,2.0,ML,,,,2.8,nan,1,3.0,0.1,3
1686732,1983-01-28T23:21:01Z,-41.03,0.0,175.42,0.0,25.0,1.0,ML,,,,2.1,0.2,4,,,
1563646,1983-01-29T05:56:34Z,-39.11,0.0,179.65,0.0,33.0,0.0,ML,,,,3.7,0.1,3,,,
1563647,1983-01-29T12:42:29Z,-40.39,0.1,173.34,0.1,156.0,13.0,ML,,,,4.2,0.3,4,,,
