PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mb,mb_Uncertainty,mb_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2016p499050,2016-07-03T15:34:07Z,-39.2,5.1,177.46,4.8,26.0,7.0,M,,,,,,,2.1,0.2,12,2.0,nan,7,,,,,,,,,,2.0,0.2,7
2016p499482,2016-07-03T19:24:15Z,-39.43,2.0,176.72,2.3,17.0,4.0,M,,,,,,,3.5,0.3,14,3.1,nan,14,,,,,,,,,,3.1,0.2,14
2016p499493,2016-07-03T19:29:58Z,-44.45,4.8,167.74,5.9,12.0,0.0,M,,,,,,,3.7,0.2,17,3.5,nan,12,,,,,,,,,,3.5,0.2,12
2016p499906,2016-07-03T23:10:14Z,-39.15,2.0,175.36,2.5,6.0,3.0,M,,,,,,,1.2,0.2,10,0.9,nan,6,,,,,,,,,,0.9,0.2,6
2016p500086,2016-07-04T00:45:50Z,-41.71,2.1,174.02,1.9,9.0,2.0,M,,,,,,,4.8,0.2,25,4.6,nan,25,,,,,,,,,,4.6,0.2,25
2016p500189,2016-07-04T01:40:41Z,-38.92,4.7,178.16,7.3,36.0,5.0,M,,,,,,,3.2,0.2,23,2.9,nan,22,,,,,,,,,,2.9,0.2,22
2016p500326,2016-07-04T02:53:47Z,-41.68,2.5,174.04,2.5,7.0,3.0,M,,,,,,,2.5,0.2,17,2.2,nan,10,,,,,,,,,,2.2,0.2,10
2016p500408,2016-07-04T03:37:41Z,-39.14,1.5,175.36,2.3,7.0,3.0,M,,,,,,,1.3,0.2,9,1.0,nan,8,,,,,,,,,,1.0,0.2,8
2016p500669,2016-07-04T05:56:33Z,-39.22,2.3,177.1,2.9,24.0,4.0,M,,,,,,,2.4,0.2,15,2.2,nan,12,,,,,,,,,,2.2,0.1,12
2016p500724,2016-07-04T06:25:52Z,-46.02,6.2,166.18,10.9,12.0,0.0,M,,,,,,,3.5,0.1,9,3.3,nan,4,,,,,,,,,,3.3,0.2,4
2016p500738,2016-07-04T06:33:32Z,-39.48,4.4,175.69,2.6,19.0,3.0,M,,,,,,,1.5,0.3,15,1.2,nan,8,,,,,,,,,,1.2,0.2,8
2016p500742,2016-07-04T06:35:37Z,-40.74,9.0,173.23,5.0,154.0,8.0,M,,,,,,,,,,2.2,nan,6,,,,,,,,,,2.2,0.3,6
