PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1560133,1979-07-12T15:56:28Z,-43.12,0.0,171.94,0.0,33.0,0.0,ML,,,,,,,3.6,0.2,7,,,
1681764,1979-07-12T16:28:25Z,-41.42,0.0,175.0,0.0,25.0,0.0,ML,,,,,,,1.8,0.2,7,,,
1560134,1979-07-12T18:04:38Z,-39.64,0.1,174.01,0.1,231.0,7.0,ML,,,,,,,4.0,0.2,6,,,
1681765,1979-07-12T18:30:39Z,-41.06,0.0,174.8,0.0,29.0,3.0,ML,,,,,,,1.4,0.1,5,,,
1681766,1979-07-12T19:08:37Z,-40.7,0.0,175.06,0.0,35.0,1.0,ML,,,,,,,2.4,0.1,7,2.3,nan,1
1681767,1979-07-12T22:22:02Z,-41.56,0.0,174.82,0.0,49.0,0.0,ML,,,,,,,1.6,0.4,6,,,
1560135,1979-07-12T23:22:37Z,-44.44,0.1,167.9,0.1,12.0,0.0,ML,,,,,,,3.2,0.2,3,,,
1681768,1979-07-13T01:42:54Z,-41.59,0.0,175.0,0.0,30.0,0.0,ML,,,,,,,1.9,0.2,5,,,
1681769,1979-07-13T02:40:19Z,-40.99,0.0,175.38,0.0,21.0,4.0,ML,,,,,,,1.8,0.2,5,,,
1681770,1979-07-13T02:49:14Z,-41.53,0.0,174.56,0.0,24.0,1.0,ML,,,,,,,1.9,0.4,6,,,
1560136,1979-07-13T04:51:05Z,-38.17,0.1,176.0,0.1,173.0,11.0,ML,,,,,,,3.7,0.3,4,,,
1560137,1979-07-13T10:36:52Z,-39.24,0.0,175.24,0.0,12.0,0.0,ML,,,,,,,3.9,0.3,8,,,
1560138,1979-07-13T13:52:02Z,-38.47,0.0,176.69,0.0,12.0,0.0,ML,,,,,,,3.5,0.3,9,,,
1681771,1979-07-13T14:09:34Z,-41.05,0.0,174.46,0.0,37.0,4.0,ML,,,,,,,1.7,0.2,6,,,
1681772,1979-07-13T15:53:23Z,-41.35,0.0,174.24,0.0,35.0,1.0,ML,,,,,,,2.4,0.2,6,,,
1681773,1979-07-14T00:29:21Z,-41.42,0.0,175.0,0.0,26.0,1.0,ML,,,,,,,1.3,0.3,4,,,
1681774,1979-07-14T02:33:22Z,-41.01,0.0,174.88,0.0,54.0,0.0,ML,,,,,,,2.1,0.1,6,,,
1681775,1979-07-14T09:15:31Z,-41.03,0.0,174.47,0.0,35.0,2.0,ML,,,,,,,1.7,0.1,5,,,
1681776,1979-07-14T10:32:00Z,-40.85,0.0,175.07,0.0,36.0,2.0,ML,,,,,,,1.9,0.2,6,,,
1681777,1979-07-14T14:32:43Z,-41.3,0.0,175.06,0.0,26.0,1.0,ML,,,,,,,1.3,0.2,5,,,
1560139,1979-07-14T23:39:14Z,-39.52,0.0,174.28,0.1,191.0,7.0,ML,,,,,,,4.3,0.2,5,,,
1681778,1979-07-15T02:30:32Z,-40.97,0.0,175.44,0.0,27.0,9.0,ML,,,,,,,1.8,0.3,3,,,
1681779,1979-07-15T09:39:32Z,-41.27,0.0,175.3,0.0,29.0,2.0,ML,,,,,,,1.8,0.5,3,,,
1583390,1979-07-16T02:51:05Z,-43.96,0.0,169.32,0.0,12.0,0.0,ML,,,,,,,2.3,0.1,3,,,
1681780,1979-07-16T04:13:58Z,-40.82,0.0,174.74,0.0,38.0,2.0,ML,,,,,,,2.0,0.2,4,,,
1681781,1979-07-16T21:46:32Z,-41.28,0.0,175.31,0.0,27.0,1.0,ML,,,,,,,1.9,0.3,5,,,
1560140,1979-07-16T23:59:18Z,-38.06,0.0,176.59,0.0,158.0,6.0,ML,,,,,,,3.8,0.3,6,,,
1681782,1979-07-17T05:40:37Z,-41.24,0.0,175.2,0.0,24.0,0.0,Md,,,,,,,,,,2.5,0.1,4
1560141,1979-07-17T06:04:04Z,-45.07,0.0,167.68,0.0,120.0,3.0,ML,,,,,,,3.6,0.4,5,,,
1681783,1979-07-17T06:59:05Z,-41.24,0.0,175.2,0.0,24.0,1.0,ML,,,,,,,1.4,0.2,6,,,
1681784,1979-07-17T09:12:47Z,-41.28,0.0,175.05,0.0,22.0,0.0,ML,,,,,,,1.5,0.2,5,,,
1681785,1979-07-17T11:22:59Z,-41.11,0.0,175.36,0.0,27.0,1.0,ML,,,,,,,1.4,0.2,4,,,
1681786,1979-07-17T11:31:13Z,-41.23,0.0,175.2,0.0,25.0,1.0,ML,,,,,,,1.4,0.2,6,,,
1681787,1979-07-17T17:37:19Z,-40.87,0.0,174.57,0.0,41.0,6.0,ML,,,,,,,1.6,0.3,5,,,
1681788,1979-07-17T18:05:35Z,-41.47,0.0,174.94,0.0,43.0,1.0,ML,,,,,,,2.1,0.3,6,,,
1681789,1979-07-17T18:48:13Z,-41.55,0.0,174.65,0.0,35.0,1.0,ML,,,,,,,1.7,0.2,4,,,
1560142,1979-07-18T01:43:58Z,-40.5,0.0,174.34,0.0,12.0,0.0,ML,,,,,,,3.9,0.2,6,,,
1681791,1979-07-18T03:37:04Z,-41.34,0.0,175.09,0.0,12.0,1.0,ML,,,,,,,1.5,0.2,5,,,
1560144,1979-07-18T08:38:27Z,-37.69,0.1,-179.5,0.1,33.0,0.0,ML,,,,,,,4.4,0.2,11,,,
1681792,1979-07-18T13:42:10Z,-41.41,0.0,174.34,0.0,59.0,2.0,ML,,,,,,,2.8,0.1,3,2.3,nan,1
1560145,1979-07-19T02:38:47Z,-38.08,0.1,176.25,0.1,187.0,8.0,ML,,,,,,,3.9,0.3,6,,,
1681793,1979-07-19T07:38:25Z,-41.13,0.0,174.14,0.0,46.0,2.0,ML,,,,,,,2.2,0.2,5,,,
1681794,1979-07-19T10:24:21Z,-40.99,0.0,175.11,0.0,23.0,2.0,ML,,,,,,,1.7,0.2,5,,,
1681795,1979-07-19T11:15:38Z,-41.07,0.0,175.33,0.0,25.0,1.0,ML,,,,,,,1.7,0.2,5,,,
1681796,1979-07-19T17:35:13Z,-40.66,0.0,174.75,0.0,20.0,2.0,ML,,,,,,,1.6,0.2,5,,,
1681797,1979-07-19T18:14:43Z,-41.1,0.0,174.86,0.0,24.0,3.0,ML,,,,,,,1.7,0.3,6,,,
1681798,1979-07-19T21:30:12Z,-41.14,0.0,175.07,0.0,6.0,1.0,ML,,,,,,,2.2,nan,2,2.2,nan,1
