PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,MS,MS_Uncertainty,MS_StationCount,Md,Md_Uncertainty,Md_StationCount
1564921,1984-01-19T15:28:20Z,-37.48,0.0,176.55,0.0,201.0,6.0,ML,,,,4.8,0.3,6,,,,,,
1687143,1984-01-19T17:35:00Z,-41.24,0.0,175.29,0.0,29.0,1.0,ML,,,,2.3,0.1,3,,,,,,
1564922,1984-01-19T17:50:41Z,-40.52,0.0,174.46,0.0,79.0,5.0,ML,,,,4.6,0.3,6,,,,,,
1564923,1984-01-19T18:51:38Z,-35.8,0.1,178.3,0.1,227.0,18.0,ML,,,,4.5,0.2,6,,,,,,
1564924,1984-01-19T21:27:12Z,-38.58,0.0,175.72,0.0,176.0,4.0,ML,,,,4.1,0.3,7,,,,,,
1564925,1984-01-19T22:57:31Z,-45.03,0.1,167.43,0.1,81.0,5.0,ML,,,,3.4,0.3,5,,,,,,
1564926,1984-01-20T03:28:35Z,-45.11,0.0,166.97,0.1,33.0,0.0,ML,,,,4.1,0.2,6,,,,,,
1687145,1984-01-20T07:44:04Z,-40.91,0.0,174.21,0.0,56.0,1.0,ML,,,,2.3,0.2,5,,,,,,
1687146,1984-01-20T12:09:23Z,-41.05,0.0,175.46,0.0,15.0,0.0,ML,,,,2.2,0.1,4,,,,,,
1564927,1984-01-20T18:42:45Z,-36.32,0.1,177.88,0.1,243.0,6.0,ML,,,,4.5,0.2,6,,,,,,
1687147,1984-01-20T20:49:52Z,-41.3,0.0,174.53,0.0,33.0,0.0,ML,,,,2.4,0.3,3,,,,2.2,nan,1
1564929,1984-01-21T18:02:42Z,-40.46,0.0,176.73,0.0,42.0,8.0,ML,,,,3.0,0.2,2,,,,,,
1687148,1984-01-22T00:36:51Z,-42.03,0.0,174.56,0.0,29.0,1.0,ML,,,,3.8,nan,1,,,,3.1,0.1,4
1687149,1984-01-22T07:17:25Z,-40.79,0.0,174.55,0.0,62.0,3.0,ML,,,,2.5,0.1,3,,,,,,
1564930,1984-01-22T09:12:51Z,-38.89,0.1,175.03,0.1,227.0,9.0,ML,,,,4.3,0.3,7,,,,,,
1564931,1984-01-22T12:13:48Z,-41.24,0.0,172.36,0.1,12.0,0.0,ML,,,,3.8,0.4,6,,,,,,
1687150,1984-01-22T18:23:12Z,-41.62,0.0,174.64,0.0,32.0,1.0,ML,,,,2.5,0.1,6,,,,,,
1564932,1984-01-22T21:34:40Z,-38.63,0.0,177.36,0.1,33.0,0.0,ML,,,,3.4,0.2,4,,,,,,
1564933,1984-01-22T21:38:49Z,-45.07,0.0,167.51,0.1,79.0,8.0,ML,,,,3.4,0.2,5,,,,,,
1687151,1984-01-22T23:04:35Z,-41.66,0.0,174.53,0.0,33.0,1.0,ML,,,,2.5,0.1,4,,,,,,
1687152,1984-01-23T16:49:37Z,-41.83,0.0,174.94,0.0,31.0,1.0,ML,,,,2.4,0.2,6,,,,,,
1687153,1984-01-23T23:31:59Z,-41.58,0.0,174.24,0.0,5.0,0.0,ML,,,,2.4,0.2,6,,,,,,
1687154,1984-01-24T03:51:19Z,-41.1,0.0,174.0,0.1,56.0,4.0,ML,,,,3.0,nan,1,,,,2.9,0.1,3
1564934,1984-01-24T05:05:20Z,-41.09,0.0,174.04,0.0,56.0,5.0,ML,,,,3.8,0.1,3,,,,,,
1687156,1984-01-24T05:12:30Z,-41.12,0.0,173.96,0.0,59.0,2.0,ML,,,,2.5,0.2,7,,,,,,
1564935,1984-01-24T07:49:41Z,-40.31,0.0,175.88,0.0,73.0,9.0,ML,,,,4.1,0.4,7,,,,,,
1687157,1984-01-24T17:56:43Z,-41.83,0.0,174.92,0.0,32.0,1.0,ML,,,,3.2,nan,1,,,,3.0,0.1,3
1687158,1984-01-24T18:04:50Z,-41.82,0.0,174.93,0.0,32.0,1.0,ML,,,,2.4,0.2,7,,,,,,
1687159,1984-01-24T19:02:57Z,-41.83,0.0,174.92,0.0,32.0,1.0,ML,,,,2.3,0.2,6,,,,,,
1564936,1984-01-24T21:54:25Z,-40.04,0.0,176.9,0.1,61.0,14.0,ML,,,,4.5,0.5,7,,,,,,
1564937,1984-01-24T22:36:40Z,-37.91,0.1,176.26,0.1,237.0,16.0,ML,,,,4.0,0.3,3,,,,,,
1687160,1984-01-25T15:28:46Z,-41.83,0.0,174.93,0.0,32.0,1.0,ML,,,,2.3,0.2,6,,,,,,
