PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1559078,1978-01-09T23:30:44Z,-40.34,0.0,176.63,0.1,12.0,0.0,ML,,,,3.9,0.3,7,,,
1559079,1978-01-09T23:52:27Z,-40.38,0.0,176.77,0.1,12.0,0.0,ML,,,,4.0,0.3,6,,,
1582855,1978-01-09T23:58:15Z,-44.4,0.0,170.26,0.0,2.0,0.0,ML,,,,1.4,0.1,3,,,
1559080,1978-01-10T00:11:47Z,-40.4,0.0,177.21,0.1,12.0,0.0,ML,,,,4.4,0.4,6,,,
1559081,1978-01-10T01:17:59Z,-40.35,0.0,176.67,0.1,12.0,0.0,ML,,,,4.0,0.4,7,,,
1559082,1978-01-10T05:19:34Z,-40.35,0.0,176.76,0.1,12.0,0.0,ML,,,,3.9,0.3,7,,,
1559084,1978-01-10T07:24:18Z,-40.41,0.0,177.07,0.0,12.0,0.0,ML,,,,4.0,0.3,7,,,
1559085,1978-01-11T08:32:38Z,-43.33,0.0,170.9,0.1,12.0,0.0,ML,,,,3.6,0.3,6,,,
1679504,1978-01-11T15:22:41Z,-41.36,0.0,175.12,0.0,28.0,0.0,ML,,,,2.0,0.2,6,,,
1679505,1978-01-12T07:48:48Z,-41.53,0.0,174.25,0.0,24.0,1.0,Md,,,,,,,3.2,0.1,5
1679506,1978-01-12T16:33:00Z,-40.84,0.0,174.74,0.0,42.0,3.0,ML,,,,1.9,0.1,5,,,
1679507,1978-01-13T07:34:53Z,-41.55,0.0,175.14,0.0,34.0,0.0,ML,,,,2.1,0.1,6,,,
1679508,1978-01-14T00:08:47Z,-41.02,0.0,174.85,0.0,26.0,2.0,ML,,,,1.9,0.2,4,,,
1559086,1978-01-14T08:16:51Z,-38.54,0.0,175.84,0.1,152.0,10.0,ML,,,,3.6,0.4,3,,,
1679509,1978-01-15T08:25:31Z,-41.38,0.0,175.09,0.0,26.0,0.0,ML,,,,2.1,0.1,5,,,
1679510,1978-01-15T17:31:12Z,-41.36,0.0,175.12,0.0,27.0,2.0,ML,,,,1.8,0.1,6,,,
1679511,1978-01-15T17:42:26Z,-41.37,0.0,175.12,0.0,27.0,2.0,ML,,,,1.8,0.1,6,,,
1679512,1978-01-15T18:12:46Z,-41.71,0.0,174.99,0.0,28.0,1.0,ML,,,,2.4,0.1,5,,,
1559087,1978-01-16T03:07:23Z,-37.83,0.1,176.42,0.1,93.0,17.0,ML,,,,3.4,0.6,2,,,
1679513,1978-01-16T13:37:48Z,-41.37,0.0,175.13,0.0,29.0,1.0,ML,,,,2.0,0.2,6,,,
1679514,1978-01-16T15:25:33Z,-41.35,0.0,175.11,0.0,25.0,0.0,ML,,,,1.8,0.1,5,,,
1559089,1978-01-16T20:23:37Z,-41.8,0.0,172.2,0.0,12.0,0.0,ML,,,,2.7,0.3,1,,,
1582856,1978-01-16T20:45:18Z,-44.38,0.0,169.5,0.0,8.0,2.0,ML,,,,2.7,0.1,3,,,
1559090,1978-01-16T20:50:02Z,-41.73,0.1,172.17,0.1,12.0,0.0,ML,,,,3.5,0.2,4,,,
