PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1567801,1986-02-07T11:10:23Z,-45.67,0.0,166.68,0.1,1.0,0.0,ML,4.0,0.2,5,,,
1567802,1986-02-07T16:43:47Z,-38.61,0.0,176.02,0.1,158.0,7.0,ML,3.5,0.3,5,,,
1567803,1986-02-07T23:27:27Z,-45.26,0.0,167.26,0.1,103.0,6.0,ML,4.0,0.2,3,,,
1688105,1986-02-08T04:43:05Z,-41.1,0.0,174.57,0.0,36.0,1.0,ML,2.1,0.3,8,,,
1567804,1986-02-08T05:45:39Z,-38.89,0.0,177.51,0.1,33.0,0.0,ML,3.7,0.2,4,,,
1567805,1986-02-08T15:51:02Z,-38.19,0.0,176.21,0.0,1.0,0.0,ML,3.0,0.2,4,,,
1567806,1986-02-08T22:03:35Z,-37.17,0.1,177.5,0.0,141.0,4.0,ML,3.4,0.3,3,,,
1567807,1986-02-09T18:58:46Z,-40.23,0.0,175.3,0.1,1.0,0.0,ML,4.2,0.6,3,,,
1567808,1986-02-09T20:43:56Z,-38.1,0.0,176.25,0.0,1.0,0.0,ML,1.5,nan,0,,,
1688106,1986-02-10T00:04:19Z,-41.42,0.0,174.7,0.0,26.0,1.0,ML,2.2,0.2,10,,,
1567809,1986-02-10T09:03:27Z,-39.37,0.0,175.38,0.1,79.0,8.0,ML,3.8,0.2,5,,,
1567810,1986-02-10T16:10:41Z,-38.98,0.0,176.16,0.0,86.0,7.0,ML,3.8,0.2,5,,,
1567811,1986-02-10T17:25:51Z,-45.01,0.0,167.58,0.0,96.0,4.0,ML,3.8,0.3,3,,,
1567812,1986-02-10T19:56:21Z,-39.18,0.0,173.83,0.0,12.0,0.0,ML,4.0,0.2,3,,,
1567813,1986-02-11T09:03:28Z,-39.37,0.0,174.79,0.0,49.0,5.0,ML,3.5,0.1,2,,,
1688107,1986-02-11T13:52:04Z,-41.32,0.0,174.58,0.0,32.0,1.0,ML,2.3,0.3,7,,,
1567814,1986-02-11T15:09:19Z,-38.79,0.0,175.9,0.0,12.0,0.0,ML,3.3,0.2,5,,,
1567815,1986-02-11T15:09:41Z,-38.82,0.0,175.93,0.0,10.0,2.0,ML,3.7,0.2,7,,,
1688108,1986-02-11T16:43:40Z,-41.42,0.0,174.72,0.0,26.0,0.0,ML,2.1,0.2,10,,,
1567816,1986-02-12T06:23:53Z,-41.43,0.0,172.31,0.1,12.0,0.0,ML,3.4,0.1,3,,,
1688109,1986-02-12T06:29:10Z,-40.98,0.0,175.43,0.0,23.0,1.0,ML,2.2,0.3,5,,,
1567817,1986-02-12T06:45:50Z,-44.11,0.1,168.09,0.1,12.0,0.0,ML,4.7,0.2,4,,,
1688110,1986-02-12T14:59:20Z,-41.94,0.0,174.22,0.0,21.0,2.0,ML,2.5,0.2,10,,,
1567818,1986-02-12T22:32:32Z,-40.04,0.0,176.92,0.1,33.0,0.0,ML,4.9,0.3,9,,,
1567819,1986-02-13T14:26:14Z,-40.87,0.0,176.31,0.1,37.0,5.0,ML,3.7,0.1,2,,,
1567820,1986-02-14T06:22:32Z,-36.88,0.0,177.54,0.1,12.0,0.0,ML,3.8,0.4,3,,,
1688111,1986-02-14T12:41:37Z,-41.55,0.0,174.46,0.0,16.0,5.0,ML,2.2,0.2,11,2.2,nan,1
1688112,1986-02-14T22:18:52Z,-41.55,0.0,174.57,0.0,32.0,1.0,ML,2.4,0.3,9,2.4,nan,1
1567821,1986-02-15T07:05:30Z,-39.87,0.0,174.49,0.0,109.0,9.0,ML,3.5,0.3,2,,,
1688113,1986-02-16T03:26:03Z,-41.29,0.0,174.89,0.0,21.0,1.0,ML,2.2,0.4,5,,,
1567822,1986-02-16T04:21:12Z,-38.7,0.0,175.81,0.1,163.0,9.0,ML,3.8,0.3,4,,,
1567823,1986-02-16T13:00:35Z,-37.93,0.1,176.26,0.1,199.0,7.0,ML,3.7,0.3,4,,,
1567824,1986-02-16T21:42:13Z,-39.03,0.0,175.79,0.0,101.0,4.0,ML,3.5,0.1,2,,,
1688114,1986-02-16T22:59:54Z,-41.27,0.0,174.84,0.0,25.0,0.0,ML,2.0,0.2,9,,,
1567825,1986-02-17T00:34:09Z,-37.31,0.1,177.41,0.0,100.0,4.0,ML,4.0,0.1,3,,,
1688115,1986-02-17T04:37:02Z,-41.22,0.1,173.87,0.1,55.0,4.0,ML,2.8,0.2,4,2.5,nan,2
1567827,1986-02-17T07:48:10Z,-37.33,0.1,177.61,0.0,12.0,0.0,ML,3.6,0.3,4,,,
1688116,1986-02-17T09:15:07Z,-41.22,0.0,174.88,0.0,17.0,1.0,ML,2.8,nan,1,2.7,nan,2
1688117,1986-02-17T09:18:08Z,-41.22,0.0,174.88,0.0,18.0,1.0,ML,2.9,0.2,2,2.6,0.2,2
1567828,1986-02-17T10:56:10Z,-41.24,0.0,175.18,0.0,19.0,2.0,ML,2.9,0.2,3,,,
1567829,1986-02-17T11:08:23Z,-41.19,0.0,172.71,0.1,219.0,4.0,ML,3.9,0.2,4,,,
1688119,1986-02-17T18:20:54Z,-41.38,0.0,173.88,0.1,58.0,3.0,ML,2.5,0.2,8,2.5,nan,1
1688120,1986-02-18T03:02:53Z,-41.27,0.0,174.84,0.0,26.0,1.0,ML,2.6,0.4,4,,,
1567830,1986-02-18T14:58:49Z,-42.08,0.1,173.68,0.0,23.0,8.0,ML,3.6,0.4,4,,,
1567831,1986-02-18T18:15:44Z,-36.91,0.1,176.93,0.1,290.0,5.0,ML,4.4,0.3,5,,,
1567832,1986-02-19T07:16:31Z,-37.48,0.0,177.72,0.0,114.0,5.0,ML,4.5,0.2,4,,,
1567834,1986-02-20T07:46:06Z,-37.76,0.0,178.81,0.0,28.0,2.0,ML,4.2,0.2,5,,,
1567835,1986-02-20T12:26:43Z,-40.04,0.0,175.73,0.0,53.0,5.0,ML,3.5,0.1,4,,,
1688121,1986-02-20T15:23:02Z,-40.56,0.0,174.74,0.0,45.0,1.0,ML,2.9,0.2,4,3.1,nan,2
1688122,1986-02-20T18:04:23Z,-40.98,0.0,174.73,0.0,50.0,1.0,ML,2.1,0.3,8,,,
1567836,1986-02-20T18:27:57Z,-37.28,0.1,177.25,0.0,12.0,0.0,ML,3.8,0.4,4,,,
1688123,1986-02-20T19:33:04Z,-41.04,0.0,173.81,0.0,83.0,3.0,ML,3.5,0.2,2,3.3,0.2,3
1688124,1986-02-21T10:11:42Z,-40.56,0.0,174.7,0.0,44.0,4.0,ML,2.5,0.1,4,,,
1688125,1986-02-21T11:56:10Z,-40.77,0.0,175.13,0.0,60.0,2.0,ML,2.9,0.2,4,2.6,nan,2
1567837,1986-02-21T15:24:51Z,-38.4,0.0,176.03,0.0,164.0,6.0,ML,4.2,0.4,4,,,
1688126,1986-02-21T15:37:59Z,-41.32,0.0,174.33,0.0,38.0,2.0,ML,3.0,0.3,3,2.9,0.1,2
1688127,1986-02-22T00:05:22Z,-41.31,0.0,175.04,0.0,33.0,0.0,ML,2.6,0.4,5,,,
1688128,1986-02-22T03:59:51Z,-41.58,0.0,173.91,0.1,20.0,2.0,ML,2.8,0.2,6,2.7,nan,1
1567838,1986-02-23T03:42:52Z,-37.78,0.1,179.05,0.2,33.0,0.0,ML,3.5,0.2,2,,,
1688129,1986-02-23T04:35:17Z,-40.77,0.0,174.76,0.0,18.0,2.0,ML,2.7,0.1,3,2.8,nan,2
1688130,1986-02-23T07:24:29Z,-40.83,0.0,174.46,0.0,43.0,1.0,ML,2.3,0.3,5,,,
1567839,1986-02-23T12:25:42Z,-40.39,0.0,173.35,0.1,171.0,7.0,ML,4.5,0.2,5,,,
1567840,1986-02-24T05:20:15Z,-38.74,0.0,177.47,0.0,65.0,8.0,ML,3.4,0.3,2,,,
1567841,1986-02-24T16:24:56Z,-37.81,0.0,176.48,0.1,181.0,7.0,ML,5.0,0.6,2,,,
1688131,1986-02-24T19:35:40Z,-41.16,0.0,175.68,0.0,22.0,1.0,ML,2.7,0.1,4,2.7,nan,1
1567842,1986-02-24T20:33:56Z,-38.1,0.1,176.03,0.1,201.0,6.0,ML,4.7,0.2,5,,,
1688132,1986-02-24T22:28:08Z,-40.49,0.0,174.48,0.0,63.0,2.0,ML,2.8,0.2,3,2.7,0.1,2
1567843,1986-02-25T00:11:03Z,-39.42,0.0,174.46,0.0,201.0,6.0,ML,4.5,0.3,4,,,
1567844,1986-02-26T17:48:15Z,-36.22,0.1,178.32,0.1,12.0,0.0,ML,4.2,0.4,2,,,
1688133,1986-02-26T20:25:28Z,-41.27,0.0,175.24,0.0,24.0,0.0,ML,2.2,0.3,5,,,
1567845,1986-02-27T03:14:36Z,-44.77,0.0,167.76,0.0,75.0,2.0,ML,3.6,nan,1,,,
1688134,1986-02-27T21:46:33Z,-41.41,0.0,174.03,0.0,43.0,2.0,ML,2.9,0.3,3,2.9,0.3,2
1567846,1986-02-28T11:41:18Z,-38.38,0.0,177.14,0.0,33.0,4.0,ML,3.4,0.2,6,,,
1567847,1986-02-28T14:06:07Z,-40.42,0.1,178.59,0.1,33.0,0.0,ML,3.7,0.2,5,,,
1567848,1986-02-28T15:17:08Z,-44.58,0.1,167.97,0.1,26.0,6.0,ML,4.4,0.2,4,,,
1688135,1986-02-28T19:00:09Z,-41.84,0.0,174.2,0.1,24.0,3.0,ML,2.9,0.3,4,2.8,nan,1
1688136,1986-02-28T19:49:38Z,-41.85,0.0,174.17,0.0,25.0,2.0,ML,2.6,0.2,8,,,
1567849,1986-02-28T23:49:39Z,-35.41,0.1,178.28,0.1,33.0,0.0,ML,4.6,0.1,3,,,
1567850,1986-03-01T05:01:10Z,-45.51,0.0,167.34,0.1,12.0,0.0,ML,3.5,0.3,2,,,
1688137,1986-03-01T09:24:40Z,-40.57,0.1,174.63,0.0,5.0,0.0,ML,2.2,0.3,4,2.6,nan,2
1567851,1986-03-01T13:26:46Z,-38.27,0.0,-179.5,0.0,33.0,0.0,ML,4.0,0.2,1,,,
1567852,1986-03-02T03:49:29Z,-37.01,0.0,177.91,0.0,133.0,3.0,ML,4.1,0.2,2,,,
1567853,1986-03-02T20:14:39Z,-39.52,0.0,175.86,0.1,33.0,0.0,ML,3.4,0.2,2,,,
1567855,1986-03-04T01:25:40Z,-37.0,0.2,179.1,0.5,12.0,0.0,ML,4.4,0.3,2,,,
1688138,1986-03-04T02:32:56Z,-40.77,0.0,174.76,0.0,42.0,1.0,ML,3.5,nan,1,3.4,0.1,3
1567856,1986-03-04T04:08:21Z,-37.76,0.0,176.67,0.0,12.0,0.0,ML,3.6,0.1,2,,,
1567857,1986-03-04T07:10:53Z,-36.94,0.2,178.89,0.3,12.0,0.0,ML,4.2,0.4,2,,,
