PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mb,Mb_Uncertainty,Mb_StationCount,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,Md,Md_Uncertainty,Md_StationCount
11182,1988-02-21T16:43:54Z,-40.2,0.0,174.85,0.0,5.0,0.0,ML,,,,,,,2.2,0.1,5,,,,,,
11183,1988-02-21T17:04:17Z,-41.13,0.0,174.91,0.0,16.0,1.0,ML,,,,,,,1.8,0.1,2,,,,,,
11186,1988-02-21T21:10:59Z,-40.28,0.0,174.19,0.0,116.0,1.0,ML,,,,,,,2.6,nan,1,,,,,,
11187,1988-02-21T23:12:27Z,-41.41,0.0,173.25,0.0,137.0,2.0,ML,,,,,,,3.1,0.2,6,,,,,,
11189,1988-02-22T07:09:54Z,-41.12,0.0,174.91,0.0,15.0,3.0,ML,,,,,,,2.1,0.1,2,,,,,,
11651,1988-02-22T07:25:24Z,-42.45,0.1,170.63,0.0,12.0,0.0,ML,,,,,,,3.5,0.6,2,,,,,,
11190,1988-02-22T09:02:08Z,-38.02,0.1,176.24,0.1,191.0,8.0,ML,,,,,,,3.6,0.2,9,,,,,,
11653,1988-02-22T09:07:48Z,-45.07,0.0,167.55,0.0,113.0,1.0,ML,,,,,,,3.2,0.2,8,,,,,,
11191,1988-02-22T09:51:39Z,-40.38,0.0,175.21,0.0,6.0,6.0,ML,,,,,,,2.5,0.1,4,,,,,,
11216,1988-02-22T17:53:13Z,-39.13,0.0,177.25,0.0,44.0,7.0,ML,,,,,,,3.9,0.2,15,,,,,,
11331,1988-02-22T18:31:09Z,-38.51,0.1,177.06,0.0,28.0,0.0,ML,,,,,,,2.6,0.1,2,,,,,,
11223,1988-02-22T18:50:10Z,-38.01,0.0,177.52,0.0,62.0,6.0,ML,,,,,,,3.7,0.2,13,,,,,,
11233,1988-02-22T20:11:38Z,-41.32,0.0,172.41,0.0,5.0,0.0,ML,,,,,,,3.1,0.2,5,,,,,,
25437,1988-02-23T02:11:20Z,-33.71,0.1,-178.49,0.1,33.0,0.0,ML,,,,,,,4.7,0.3,5,,,,,,
11243,1988-02-23T04:27:11Z,-37.73,0.1,176.84,0.1,167.0,10.0,ML,,,,,,,4.2,0.3,16,,,,,,
11246,1988-02-23T09:04:06Z,-40.89,0.0,175.53,0.0,24.0,1.0,ML,,,,,,,3.2,0.1,7,,,,,,
11247,1988-02-23T09:25:54Z,-40.88,0.0,175.56,0.0,27.0,1.0,ML,,,,,,,2.5,0.1,2,,,,,,
11248,1988-02-23T10:19:00Z,-36.51,0.0,178.14,0.1,120.0,6.0,ML,,,,,,,4.4,0.3,6,,,,,,
25456,1988-02-23T10:55:02Z,-37.57,0.1,179.97,0.1,12.0,0.0,ML,,,,,,,3.8,0.2,3,,,,,,
11430,1988-02-23T10:57:55Z,-46.3,0.0,169.11,0.0,12.0,0.0,ML,,,,,,,3.3,0.2,7,,,,,,
11432,1988-02-23T11:33:38Z,-45.75,0.0,167.13,0.0,104.0,1.0,ML,,,,,,,3.6,0.1,6,,,,,,
10581,1988-02-24T12:50:36Z,-37.0,0.1,177.22,0.1,302.0,5.0,ML,,,,,,,3.8,0.3,4,,,,,,
10586,1988-02-25T02:45:35Z,-39.77,0.0,175.23,0.0,83.0,2.0,ML,,,,,,,2.7,nan,1,,,,,,
26194,1988-02-25T06:21:46Z,-38.28,0.0,178.63,0.1,33.0,0.0,ML,,,,,,,3.6,0.2,4,,,,,,
30126,1988-02-26T07:37:06Z,-34.78,0.1,-178.7,0.1,141.0,82.0,ML,,,,,,,4.7,0.1,5,,,,,,
30128,1988-02-26T12:29:13Z,-34.95,0.1,-179.57,0.1,301.0,25.0,ML,,,,,,,4.2,0.2,2,,,,,,
12149,1988-02-26T22:09:09Z,-40.96,0.0,175.61,0.1,33.0,6.0,ML,,,,,,,1.8,0.1,3,,,,,,
12225,1988-02-28T08:50:49Z,-39.71,0.0,176.39,0.0,33.0,0.0,ML,,,,,,,3.4,0.2,16,,,,,,
30268,1988-02-28T14:31:20Z,-35.23,0.1,-178.72,0.2,33.0,0.0,ML,,,,,,,4.4,0.2,8,,,,,,
30285,1988-02-28T14:33:27Z,-35.13,0.1,-178.77,0.1,33.0,0.0,ML,,,,,,,4.3,0.2,8,,,,,,
12226,1988-02-28T17:55:29Z,-41.71,0.0,172.53,0.1,12.0,0.0,ML,,,,,,,3.6,1.3,4,,,,,,
12227,1988-02-29T18:01:14Z,-41.32,0.0,174.92,0.0,27.0,1.0,ML,,,,,,,2.5,0.2,9,,,,,,
11674,1988-03-01T00:06:22Z,-41.02,0.0,175.26,0.0,43.0,4.0,ML,,,,,,,2.0,nan,1,,,,,,
10631,1988-03-01T04:40:39Z,-39.08,0.0,175.87,0.1,83.0,10.0,ML,,,,,,,2.9,0.1,6,,,,,,
10632,1988-03-01T07:55:24Z,-40.3,0.0,175.03,0.0,5.0,5.0,ML,,,,,,,3.0,0.2,12,,,,,,
11676,1988-03-01T09:27:42Z,-41.58,0.0,173.87,0.1,15.0,0.0,ML,,,,,,,2.3,nan,1,,,,,,
10634,1988-03-01T10:30:11Z,-40.88,0.0,175.28,0.0,30.0,2.0,ML,,,,,,,1.8,0.2,7,,,,,,
10637,1988-03-01T12:03:34Z,-41.37,0.0,175.12,0.0,29.0,1.0,ML,,,,,,,2.5,0.2,10,,,,,,
11679,1988-03-01T15:00:59Z,-41.4,0.0,174.63,0.0,33.0,1.0,ML,,,,,,,1.7,0.2,4,,,,,,
10638,1988-03-01T15:30:04Z,-41.07,0.0,174.29,0.0,49.0,2.0,ML,,,,,,,3.0,0.1,9,,,,,,
10647,1988-03-02T00:25:59Z,-38.66,0.1,176.01,0.0,204.0,6.0,ML,,,,,,,3.4,0.3,7,,,,,,
10652,1988-03-02T01:41:16Z,-40.25,0.0,173.91,0.0,157.0,3.0,ML,,,,,,,2.8,0.2,8,,,,,,
10657,1988-03-02T05:42:09Z,-39.92,0.0,174.32,0.0,189.0,4.0,ML,,,,,,,3.6,0.3,11,,,,,,
10658,1988-03-02T05:46:53Z,-40.91,0.0,175.71,0.0,28.0,2.0,ML,,,,,,,2.0,0.2,8,,,,,,
11683,1988-03-02T06:08:21Z,-41.32,0.0,175.64,0.0,14.0,1.0,ML,,,,,,,1.6,0.1,5,,,,,,
10660,1988-03-02T08:14:27Z,-39.33,0.0,175.68,0.0,138.0,1.0,ML,,,,,,,3.1,0.1,7,,,,,,
11685,1988-03-02T08:37:31Z,-41.27,0.0,175.22,0.0,24.0,0.0,ML,,,,,,,1.3,0.1,4,,,,,,
10661,1988-03-02T10:05:30Z,-40.53,0.0,175.91,0.1,19.0,5.0,ML,,,,,,,2.7,0.2,9,,,,,,
12230,1988-03-02T10:06:58Z,-41.1,0.0,175.86,0.0,32.0,2.0,ML,,,,,,,2.6,0.2,10,,,,,,
10663,1988-03-02T12:00:09Z,-40.84,0.0,175.64,0.0,22.0,1.0,ML,,,,,,,1.6,0.1,5,,,,,,
11686,1988-03-02T13:25:51Z,-40.51,0.1,174.58,0.0,27.0,3.0,ML,,,,,,,1.8,0.1,4,,,,,,
10667,1988-03-02T16:15:13Z,-36.42,0.1,177.58,0.1,299.0,6.0,ML,,,,,,,3.8,0.2,5,,,,,,
11657,1988-03-02T17:14:47Z,-45.1,0.0,169.08,0.0,8.0,5.0,ML,,,,,,,1.2,0.1,4,,,,,,
10671,1988-03-02T19:44:02Z,-42.04,0.1,173.26,0.1,75.0,11.0,ML,,,,,,,2.6,0.1,6,,,,,,
10672,1988-03-02T20:32:15Z,-40.78,0.0,174.45,0.0,49.0,5.0,ML,,,,,,,2.2,0.2,7,,,,,,
10674,1988-03-02T23:23:48Z,-40.25,0.0,173.88,0.0,166.0,3.0,ML,,,,,,,2.9,0.3,7,,,,,,
10680,1988-03-03T00:40:18Z,-40.03,0.1,174.56,0.0,22.0,8.0,ML,,,,,,,2.1,0.1,5,,,,,,
11658,1988-03-03T02:20:13Z,-45.01,0.0,167.59,0.0,104.0,3.0,ML,,,,,,,3.1,0.1,9,,,,,,
10681,1988-03-03T02:26:57Z,-40.8,0.0,175.47,0.0,31.0,3.0,ML,,,,,,,1.7,0.1,6,,,,,,
10682,1988-03-03T02:45:35Z,-40.44,0.0,174.38,0.0,24.0,4.0,ML,,,,,,,3.2,0.1,10,,,,,,
10685,1988-03-03T04:09:15Z,-40.54,0.0,175.4,0.0,31.0,2.0,ML,,,,,,,2.2,0.3,9,,,,,,
10686,1988-03-03T04:17:01Z,-40.59,0.0,173.5,0.0,236.0,3.0,ML,,,,,,,3.1,0.2,8,,,,,,
10687,1988-03-03T04:22:14Z,-41.92,0.0,173.9,0.0,42.0,4.0,ML,,,,,,,2.6,0.2,9,,,,,,
10688,1988-03-03T04:43:11Z,-38.24,0.0,176.88,0.1,176.0,3.0,ML,,,,,,,3.4,0.2,10,,,,,,
10689,1988-03-03T06:35:07Z,-40.05,0.0,175.1,0.0,12.0,0.0,ML,,,,,,,2.2,0.1,6,,,,,,
10691,1988-03-03T07:58:25Z,-39.82,0.0,174.44,0.0,102.0,3.0,ML,,,,,,,3.4,0.2,10,,,,,,
10692,1988-03-03T08:06:59Z,-40.41,0.0,173.53,0.0,182.0,3.0,ML,,,,,,,2.9,0.1,5,,,,,,
11659,1988-03-03T08:23:57Z,-45.15,0.0,168.81,0.0,3.0,42.0,ML,,,,,,,2.0,0.1,7,,,,,,
10694,1988-03-03T10:25:43Z,-39.39,0.1,174.55,0.1,5.0,0.0,ML,,,,,,,2.5,0.1,7,,,,,,
10695,1988-03-03T11:47:10Z,-38.92,0.1,175.84,0.0,185.0,6.0,ML,,,,,,,3.1,0.1,8,,,,,,
11696,1988-03-03T11:57:12Z,-40.81,0.0,175.11,0.0,39.0,6.0,ML,,,,,,,1.6,0.1,3,,,,,,
10696,1988-03-03T13:08:08Z,-40.67,0.0,175.1,0.0,34.0,2.0,ML,,,,,,,2.4,0.2,9,,,,,,
10697,1988-03-03T15:24:26Z,-39.47,0.0,176.03,0.1,17.0,5.0,ML,,,,,,,2.7,0.1,7,,,,,,
11660,1988-03-03T20:50:10Z,-44.13,0.1,168.22,0.1,33.0,0.0,ML,,,,,,,2.4,0.0,2,,,,,,
11708,1988-03-04T04:35:24Z,-40.08,0.0,174.4,0.0,119.0,9.0,ML,,,,,,,2.6,0.2,5,,,,,,
10712,1988-03-04T04:54:27Z,-40.27,0.0,174.29,0.0,33.0,0.0,ML,,,,,,,2.1,0.0,4,,,,,,
11663,1988-03-04T09:09:17Z,-44.14,0.0,168.79,0.1,8.0,4.0,ML,,,,,,,2.8,0.1,8,,,,,,
11709,1988-03-04T09:40:55Z,-41.27,0.0,175.21,0.0,20.0,3.0,ML,,,,,,,1.4,0.1,2,,,,,,
11664,1988-03-04T10:19:52Z,-45.14,0.0,167.56,0.0,111.0,1.0,ML,,,,,,,3.4,0.2,8,,,,,,
11710,1988-03-04T10:55:54Z,-41.57,0.0,174.46,0.0,15.0,5.0,ML,,,,,,,1.7,0.1,2,,,,,,
10717,1988-03-04T12:43:18Z,-40.9,0.0,175.53,0.0,24.0,1.0,ML,,,,,,,2.7,0.1,9,,,,,,
10719,1988-03-04T13:45:28Z,-40.31,0.0,174.74,0.0,19.0,7.0,ML,,,,,,,2.0,0.1,4,,,,,,
10721,1988-03-04T16:30:27Z,-38.52,0.0,175.87,0.0,115.0,11.0,ML,,,,,,,3.8,0.4,11,,,,,,
11711,1988-03-04T16:35:44Z,-40.91,0.0,175.08,0.0,26.0,5.0,ML,,,,,,,1.4,nan,1,,,,,,
10722,1988-03-04T16:57:28Z,-41.48,0.0,174.15,0.0,34.0,1.0,ML,,,,,,,2.8,0.1,10,,,,,,
10723,1988-03-04T17:22:42Z,-41.48,0.0,174.15,0.0,33.0,0.0,ML,,,,,,,4.0,0.2,8,,,,,,
10730,1988-03-04T22:46:48Z,-41.33,0.0,174.22,0.0,37.0,2.0,ML,,,,,,,3.0,0.2,9,,,,,,
10732,1988-03-05T02:39:54Z,-40.8,0.0,175.06,0.0,31.0,2.0,ML,,,,,,,2.3,0.1,3,,,,,,
10738,1988-03-05T06:47:39Z,-40.71,0.0,173.47,0.0,158.0,5.0,ML,,,,,,,3.2,0.2,6,,,,,,
11715,1988-03-05T08:14:41Z,-41.36,0.1,173.65,0.1,108.0,6.0,ML,,,,,,,2.7,0.2,5,,,,,,
10748,1988-03-05T16:14:27Z,-40.79,0.0,175.88,0.0,28.0,1.0,ML,,,,,,,1.6,0.1,2,,,,,,
12444,1988-03-05T16:14:40Z,-40.63,0.0,175.33,0.0,31.0,1.0,ML,,,,,,,1.9,0.2,5,,,,,,
11721,1988-03-05T18:19:29Z,-40.46,0.0,174.47,0.0,22.0,3.0,ML,,,,,,,2.4,0.1,5,,,,,,
11722,1988-03-05T18:39:47Z,-40.82,0.0,174.65,0.0,55.0,1.0,ML,,,,,,,2.3,0.2,4,,,,,,
10750,1988-03-05T19:04:35Z,-38.49,0.1,175.84,0.1,201.0,9.0,ML,,,,,,,3.4,0.4,5,,,,,,
11723,1988-03-05T19:20:43Z,-41.06,0.0,174.65,0.0,50.0,1.0,ML,,,,,,,1.5,0.4,2,,,,,,
10753,1988-03-05T20:50:16Z,-40.38,0.0,174.59,0.0,13.0,6.0,ML,,,,,,,2.3,0.3,7,,,,,,
11665,1988-03-05T23:18:10Z,-44.15,0.0,169.6,0.0,5.0,0.0,ML,,,,,,,3.3,0.1,9,,,,,,
10756,1988-03-06T01:11:34Z,-41.48,0.0,174.17,0.0,34.0,1.0,ML,,,,,,,2.9,0.2,10,,,,,,
11728,1988-03-06T03:38:11Z,-41.03,0.0,175.22,0.0,25.0,1.0,ML,,,,,,,1.7,0.2,4,,,,,,
10758,1988-03-06T04:14:21Z,-40.79,0.0,174.65,0.0,34.0,1.0,ML,,,,,,,2.3,0.1,8,,,,,,
11730,1988-03-06T08:11:45Z,-41.9,0.0,174.11,0.0,22.0,4.0,ML,,,,,,,2.2,0.1,6,,,,,,
11731,1988-03-06T08:55:32Z,-42.25,0.0,173.93,0.0,30.0,2.0,ML,,,,,,,2.3,0.2,5,,,,,,
11732,1988-03-06T09:09:26Z,-41.94,0.1,172.46,0.2,125.0,14.0,ML,,,,,,,2.9,0.1,3,,,,,,
10760,1988-03-06T14:45:14Z,-40.71,0.0,175.93,0.0,17.0,3.0,ML,,,,,,,2.2,0.1,6,,,,,,
11733,1988-03-06T14:58:47Z,-39.64,0.1,173.06,0.1,33.0,0.0,ML,,,,,,,2.6,0.3,4,,,,,,
10761,1988-03-06T16:08:49Z,-40.74,0.0,175.7,0.0,25.0,2.0,ML,,,,,,,1.6,0.1,4,,,,,,
10763,1988-03-06T18:49:53Z,-40.61,0.0,174.08,0.0,92.0,4.0,ML,,,,,,,2.6,0.1,2,,,,,,
10764,1988-03-06T19:05:16Z,-41.47,0.0,174.17,0.0,33.0,0.0,ML,,,,,,,3.2,0.1,10,,,,,,
10765,1988-03-06T19:25:39Z,-40.55,0.0,175.5,0.0,31.0,1.0,ML,,,,,,,2.1,0.1,2,,,,,,
34312,1988-03-06T21:10:23Z,-37.16,0.1,177.34,0.1,12.0,0.0,ML,,,,,,,3.7,nan,1,,,,,,
10944,1988-03-07T01:50:21Z,-41.39,0.0,173.64,0.0,54.0,2.0,ML,,,,,,,3.0,nan,1,,,,,,
10992,1988-03-07T06:56:53Z,-41.61,0.0,174.26,0.0,12.0,0.0,ML,,,,,,,3.2,0.1,10,,,,,,
11013,1988-03-07T08:37:59Z,-40.6,0.0,175.74,0.0,30.0,1.0,ML,,,,,,,2.8,0.1,5,,,,,,
11033,1988-03-07T11:28:44Z,-40.89,0.0,174.94,0.0,61.0,2.0,ML,,,,,,,3.1,0.1,6,,,,,,
11127,1988-03-07T20:43:34Z,-40.44,0.0,174.9,0.0,17.0,3.0,ML,,,,,,,2.8,0.2,3,,,,,,
10837,1988-03-08T01:40:43Z,-46.66,0.1,166.66,0.2,0.0,49.0,ML,,,,,,,3.4,0.2,6,,,,,,
10840,1988-03-08T02:06:14Z,-44.06,0.0,168.89,0.1,33.0,0.0,ML,,,,,,,2.5,0.1,3,,,,,,
10880,1988-03-08T07:11:24Z,-40.76,0.0,174.55,0.0,68.0,1.0,ML,,,,,,,2.8,0.2,5,,,,,,
11790,1988-03-08T09:15:18Z,-41.09,0.0,174.56,0.0,40.0,5.0,ML,,,,,,,2.2,nan,1,,,,,,
11792,1988-03-08T14:24:12Z,-41.32,0.0,175.16,0.0,20.0,1.0,ML,,,,,,,2.1,0.1,5,,,,,,
11794,1988-03-08T17:38:24Z,-41.43,0.0,174.66,0.0,30.0,2.0,ML,,,,,,,1.8,nan,1,,,,,,
12068,1988-03-08T18:58:15Z,-46.04,0.0,166.8,0.1,5.0,0.0,ML,,,,,,,3.1,0.1,2,,,,,,
11795,1988-03-08T19:31:05Z,-41.2,0.0,171.79,0.0,162.0,2.0,ML,,,,,,,3.9,0.3,7,,,,,,
12069,1988-03-08T19:35:02Z,-43.79,0.2,168.52,0.2,79.0,64.0,ML,,,,,,,3.0,0.2,4,,,,,,
12070,1988-03-08T21:11:44Z,-45.26,0.1,167.41,0.0,79.0,10.0,ML,,,,,,,2.5,0.1,3,,,,,,
11797,1988-03-08T23:38:31Z,-41.34,0.0,174.87,0.0,28.0,1.0,ML,,,,,,,2.4,0.2,9,,,,,,
11799,1988-03-09T05:32:09Z,-41.33,0.0,175.16,0.0,23.0,1.0,ML,,,,,,,2.7,0.2,10,,,,,,
11800,1988-03-09T05:52:38Z,-41.68,0.0,174.35,0.0,28.0,1.0,ML,,,,,,,2.2,nan,1,,,,,,
11803,1988-03-09T08:44:55Z,-41.05,0.0,175.03,0.0,37.0,7.0,ML,,,,,,,1.8,nan,1,,,,,,
12073,1988-03-09T11:22:04Z,-45.15,0.1,167.46,0.0,46.0,17.0,ML,,,,,,,2.6,0.1,3,,,,,,
11805,1988-03-09T12:37:13Z,-38.86,0.0,175.85,0.0,115.0,4.0,ML,,,,,,,3.7,0.3,9,,,,,,
11806,1988-03-09T13:23:43Z,-37.28,0.0,178.12,0.1,96.0,9.0,ML,,,,,,,4.3,0.1,11,,,,,,
11809,1988-03-09T16:11:06Z,-39.03,0.1,175.47,0.1,73.0,8.0,ML,,,,,,,3.2,0.3,3,,,,,,
11811,1988-03-09T18:09:51Z,-39.71,0.0,174.37,0.0,173.0,3.0,ML,,,,,,,3.9,0.2,11,,,,,,
