PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1545452,1956-05-08T23:37:25Z,-45.0,0.0,171.0,0.0,12.0,0.0,ML,,,,4.0,0.4,2,,,,,,
1545453,1956-05-19T16:53:44Z,-38.09,0.0,176.06,0.1,211.0,6.0,ML,,,,4.9,0.3,2,,,,,,
1545454,1956-05-20T02:33:32Z,-41.29,0.2,174.03,0.1,55.0,38.0,ML,,,,3.6,nan,1,,,,,,
1545455,1956-05-21T06:29:24Z,-45.0,0.0,168.0,0.0,12.0,0.0,ML,,,,4.2,nan,1,,,,,,
1545456,1956-05-23T14:59:56Z,-42.04,0.0,173.95,0.1,12.0,0.0,ML,,,,5.0,0.4,7,,,,,,
1545458,1956-05-28T20:55:14Z,-40.33,0.1,173.97,0.1,158.0,18.0,ML,,,,4.2,0.1,2,,,,,,
1545459,1956-05-29T22:58:23Z,-40.88,0.0,175.33,0.1,33.0,0.0,ML,,,,4.3,0.3,4,,,,,,
1545460,1956-05-31T09:39:38Z,-37.88,0.1,178.34,0.2,12.0,0.0,ML,,,,4.7,0.2,7,,,,,,
1545461,1956-06-12T19:55:49Z,-40.28,0.0,174.01,0.1,114.0,14.0,ML,,,,4.0,nan,1,,,,,,
1545462,1956-06-13T05:42:30Z,-44.8,0.3,168.01,0.2,33.0,0.0,ML,,,,4.6,0.3,6,,,,,,
1545463,1956-06-14T12:13:43Z,-40.19,0.1,175.08,0.1,33.0,0.0,ML,,,,4.3,0.2,4,,,,,,
1545464,1956-06-16T19:38:08Z,-41.32,0.1,173.18,0.1,12.0,0.0,ML,,,,4.4,0.3,5,,,,,,
2183129,1956-06-17T01:08:00Z,-43.0,0.0,173.0,0.0,33.0,0.0,M,,,,,,,,,,2.5,nan,0
1545465,1956-06-17T03:01:29Z,-32.89,0.4,-177.82,0.4,33.0,0.0,ML,,,,6.2,0.3,6,,,,,,
1545467,1956-06-19T10:02:40Z,-38.07,0.1,175.76,0.2,272.0,14.0,ML,,,,4.2,0.6,2,,,,,,
1545468,1956-06-19T18:26:03Z,-39.23,0.0,174.76,0.1,33.0,0.0,ML,,,,4.4,0.2,7,,,,,,
1545469,1956-06-21T06:48:18Z,-37.13,0.2,177.56,0.3,33.0,0.0,ML,,,,4.7,0.1,6,,,,,,
1545470,1956-06-24T11:21:58Z,-37.14,0.3,177.69,0.3,292.0,16.0,ML,,,,4.5,0.1,2,,,,,,
1545471,1956-06-24T22:47:21Z,-41.32,0.3,174.6,0.2,12.0,0.0,ML,,,,3.9,0.3,3,,,,,,
