publicid,cell_id,total_reports_from_counts,mean_mmi,median_mmi,max_mode_count,n_modes,mode_mmi,skewness,reported_mmi,report_count,mean_minus_median,api_median_minus_reconstructed,mode_is_tied
2026p576643,2026p576643_cell_1581,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1582,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1583,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_1584,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1585,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1586,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1587,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1588,1,6,6,1,1,6,NA,6,1,0,0,FALSE
2026p576643,2026p576643_cell_1589,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_159,4,3.5,3.5,2,2,NA,0,3,4,0,-0.5,TRUE
2026p576643,2026p576643_cell_1590,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1591,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1592,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1593,4,3,3,4,1,3,NA,3,4,0,0,FALSE
2026p576643,2026p576643_cell_1594,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1595,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1596,9,3.4444444444444446,3,6,1,3,1.2380055823137128,3,9,0.44444444444444464,0,FALSE
2026p576643,2026p576643_cell_1597,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_1598,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1599,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_16,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_160,3,3.3333333333333335,3,2,1,3,0.7071067811865465,3,3,0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1600,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1601,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1602,6,4.333333333333333,4,4,1,4,0.7071067811865493,4,6,0.33333333333333304,0,FALSE
2026p576643,2026p576643_cell_1603,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1604,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1605,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1606,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1607,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1608,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1609,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_161,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1610,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1611,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1612,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1613,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1614,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1615,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1616,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1617,4,3,3,4,1,3,NA,3,4,0,0,FALSE
2026p576643,2026p576643_cell_1618,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1619,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_162,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1620,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1621,1,6,6,1,1,6,NA,6,1,0,0,FALSE
2026p576643,2026p576643_cell_1622,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1623,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1624,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1625,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_1626,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1627,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1628,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1629,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_163,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_1630,7,3.142857142857143,3,6,1,3,2.0412414523193156,3,7,0.1428571428571428,0,FALSE
2026p576643,2026p576643_cell_1631,2,3,3,2,1,3,NA,3,2,0,0,FALSE
